CONCEPT	DOCULECT	IPA	ID
I (1sg)	Sanskrit	ɐɦɐm	1
I (1sg)	Pali	ɐɦã	2
I (1sg)	Middle_Persian	an	3
you (2sg)	Sanskrit	t̪ʋɐm	4
you (2sg)	Pali	t̪ʋã	5
you (2sg)	Middle_Persian	to:	6
he (3sg)	Sanskrit	sɐ	7
he (3sg)	Pali	so	8
he (3sg)	Middle_Persian	o:j	9
we (1pl)	Sanskrit	ʋɐjɐm	10
we (1pl)	Pali	ɐmɦe	11
we (1pl)	Middle_Persian	amɑ:h	12
you (2pl)	Sanskrit	juːjɐm	13
you (2pl)	Pali	t̪umɦe	14
you (2pl)	Middle_Persian	aʃmɑ:h	15
they (3pl)	Sanskrit	t̪e	16
they (3pl)	Pali	t̪e	17
they (3pl)	Middle_Persian	awe:ʃɑ:n	18
this	Sanskrit	id̪ɐm	19
this	Pali	id̪ã	20
this	Middle_Persian	e:n	21
that	Sanskrit	ɐd̪ɐs	22
that	Pali	t̪ɐd̪	23
that	Middle_Persian	ɑ:n	24
here	Sanskrit	ɐt̪ɾɐ	25
here	Pali	id̪ʱɐ	26
here	Middle_Persian	e:daɾ	27
there	Sanskrit	t̪ɐt̪ɾɐ	28
there	Pali	t̪ɐt̪ʰːɐ	29
there	Middle_Persian	ɑ:no:h	30
who	Sanskrit	kɐ	31
who	Pali	kɐ	32
who	Middle_Persian	ke:	33
what	Sanskrit	kim	34
what	Pali	kĩ	35
what	Middle_Persian	t͡ɕe:	36
where	Sanskrit	kut̪ɾɐ	37
where	Pali	kɐt̪ʰːɐ	38
where	Middle_Persian	ku:	39
when	Sanskrit	kɐdaː	40
when	Pali	kɐraːɦi	41
when	Middle_Persian	kaj	42
how	Sanskrit	kɐt̪ʰɐm	43
how	Pali	kɐt̪ʰã	44
how	Middle_Persian	t͡ɕijo:n	45
not	Sanskrit	nɐ	46
not	Pali	nɐ	47
not	Middle_Persian	ne:	48
all	Sanskrit	sɐɾʋe	49
all	Pali	sɐbːɐ	50
all	Middle_Persian	wisp	51
many	Sanskrit	bɐɦu	52
many	Pali	bɐɦu	53
many	Middle_Persian	was	54
some	Sanskrit	kiɲt͡ɕid̪	55
some	Pali	kotʃi	56
some	Middle_Persian	t͡ɕand	57
few	Sanskrit	ɐlpɐ	58
few	Pali	ɐpːɐ	59
few	Middle_Persian	kam	60
other	Sanskrit	ɐnjɐ	61
other	Pali	ɐpɐrɐ	62
other	Middle_Persian	abɑ:ɾi:g	63
one	Sanskrit	ekɐm	64
one	Pali	ekɐ	65
one	Middle_Persian	e:k	66
two	Sanskrit	d̪ʋe	67
two	Pali	d̪ʋe	68
two	Middle_Persian	do:	69
three	Sanskrit	t̪ɾiːɳi	70
three	Pali	t̪ɐjo	71
three	Middle_Persian	se:	72
four	Sanskrit	t͡ɕɐt̪ʋaːɾi	73
four	Pali	tʃɐt̪ur	74
four	Middle_Persian	t͡ɕahɑ:ɾ	75
five	Sanskrit	pɐɲt͡ɕɐn	76
five	Pali	pɐɲtʃɐ	77
five	Middle_Persian	pand͡ʑ	78
long	Sanskrit	d̪iːɾɡʱɐ	79
long	Pali	d̪iːɡʱɐ	80
long	Middle_Persian	dɾɑ:z	81
wide	Sanskrit	uɾu	82
wide	Pali	uru	83
wide	Middle_Persian	fɾɑ:x	84
thick	Sanskrit	ɡʱɐnɐ	85
thick	Pali	ɡʱɐnɐ	86
thick	Middle_Persian	kuluft	87
heavy	Sanskrit	ɡuɾu	88
heavy	Pali	gɐru	89
heavy	Middle_Persian	gaɾɑ:n	90
short	Sanskrit	ɦɾɐsʋɐ	91
short	Middle_Persian	ku:k	92
narrow	Sanskrit	ɐ̃.ɦu	93
narrow	Middle_Persian	tang	94
thin	Sanskrit	t̪ɐnu	95
thin	Middle_Persian	bɑ:ɾi:g	96
woman	Sanskrit	st̪ɾiː	97
woman	Pali	it̪ʰːiː	98
woman	Middle_Persian	zan	99
man (adult male)	Sanskrit	puɾuʂɐ	100
man (adult male)	Pali	purisɐ	101
man (adult male)	Middle_Persian	maɾd	102
man (human being)	Sanskrit	mɐnuʂjɐ	103
man (human being)	Pali	mɐnusːɐ	104
man (human being)	Middle_Persian	kas	105
child	Sanskrit	baːlɐ	106
child	Pali	baːlɐkɐ	107
child	Middle_Persian	wɑ:ag	108
wife	Sanskrit	pɐt̪niː	109
wife	Pali	bʱɐrijaː	110
wife	Middle_Persian	zan	111
husband	Sanskrit	pɐt̪i	112
husband	Pali	pɐt̪i	113
husband	Middle_Persian	gɑ:dɑ:ɾ	114
animal	Sanskrit	pɐʃu	115
animal	Pali	migɐ	116
animal	Middle_Persian	gjɑ:nwaɾ	117
fish	Sanskrit	mɐt̪sjɐ	118
fish	Pali	mɐtʃʰːɐ	119
fish	Middle_Persian	mɑ:hi:g	120
dog	Sanskrit	ʃʋɐn	121
dog	Pali	kukːurɐ	122
dog	Middle_Persian	sag	123
louse	Sanskrit	juːkaː	124
louse	Pali	uːkaː	125
louse	Middle_Persian	spiʃ	126
snake	Sanskrit	sɐɾpɐ	127
snake	Pali	sɐpːɐ	128
snake	Middle_Persian	mɑ:ɾ	129
worm	Sanskrit	kr̩mi	130
worm	Pali	kimi	131
worm	Middle_Persian	kiɾm	132
tree	Sanskrit	ʋr̩kʂɐ	133
tree	Pali	rukʰːɐ	134
tree	Middle_Persian	dɾaxt	135
forest	Sanskrit	ʋɐnɐ	136
forest	Pali	ʋɐnɐ	137
forest	Middle_Persian	ɾazu:ɾ	138
