DOCULECT	iso_code	CONCEPT	global_id	local_id	ASJP	cogid	notes	IPA	ID
SYRIAC_2	syc	I	1209	1	ena	21		ena	1
ARABIC_QURANIC	arb	I	1209	1	ana	21		ana	2
ARABIC_LEBANESE	apc	I	1209	1	ani	21		ani	3
GEEZ	gez	I	1209	1	ana	21		ana	4
TIGRAI	tir	I	1209	1	ane	21		ane	5
AMHARIC_3	amh	I	1209	1	3ne	21		əne	6
HARARI_2	har	I	1209	1	an	21		an	7
MEHRI_2	gdq	I	1209	1	hoh	22		hoh	8
JIBBALI	shv	I	1209	1	he	22	also: he7	he	9
SOQOTRI_2	sqt	I	1209	1	hohon	22		hohon	10
SIWA	siz	I	1209	1	niS	21	also: n3S	niʃ	11
GHADAMES_2	gha	I	1209	1	neS	21		neʃ	12
AHAGGAR	thv	I	1209	1	n3k	21		nək	13
ZENAGA_2	zen	I	1209	1	nik	21		nik	14
QABYLE	kab	I	1209	1	n3k	21		nək	15
HAUSA_3	hau	I	1209	1	na	21		na	16
BOLEWA	bol	I	1209	1	ina	21		ina	17
BEJA_2	bej	I	1209	1	ani	21		ani	18
OROMO	gaz	I	1209	1	ana	21	also: ani	ana	19
DAHALO_2	dal	I	1209	1	a5i	21		aɲi	20
KAFFA	kbr	I	1209	1	ta	24		ta	21
SYRIAC_2	syc	come	1446	66	ty	3		tj	22
ARABIC_QURANIC	arb	come	1446	66	ty	3	also: j7y	tj	23
ARABIC_LEBANESE	apc	come	1446	66	3Za	4		əʒa	24
GEEZ	gez	come	1446	66	mc7	5		mt͡sʔ	25
TIGRAI	tir	come	1446	66	masX~7e	5		masχʔe	26
AMHARIC_3	amh	come	1446	66	m3ta	5		məta	27
MEHRI_2	gdq	come	1446	66	nukaX	6		nukaχ	28
JIBBALI	shv	come	1446	66	nikaX	6		nikaχ	29
SOQOTRI_2	sqt	come	1446	66	gedah	7		ɡedah	30
SIWA	siz	come	1446	66	us	9		us	31
GHADAMES_2	gha	come	1446	66	as	9		as	32
AHAGGAR	thv	come	1446	66	as	9		as	33
ZENAGA_2	zen	come	1446	66	Sed	10		ʃed	34
QABYLE	kab	come	1446	66	as	9		as	35
HAUSA_3	hau	come	1446	66	zo	11		zo	36
BOLEWA	bol	come	1446	66	diNgo	12		diŋɡo	37
BEJA_2	bej	come	1446	66	yit	8	also: i	jit	38
OROMO	gaz	come	1446	66	dufa	13		dufa	39
DAHALO_2	dal	come	1446	66	haX	14		haχ	40
KAFFA	kbr	come	1446	66	wa	8		wa	41
SYRIAC_2	syc	water	948	75	maye	1		maje	42
ARABIC_QURANIC	arb	water	948	75	ma	1		ma	43
ARABIC_LEBANESE	apc	water	948	75	may	1		maj	44
GEEZ	gez	water	948	75	may	1		maj	45
TIGRAI	tir	water	948	75	may	1		maj	46
HARARI_2	har	water	948	75	miy	1		mij	47
