ID	DOCULECT	CONCEPT	IPA
1	SYRIAC_2	I	ena
2	ARABIC_QURANIC	I	ana
3	ARABIC_LEBANESE	I	ani
4	GEEZ	I	ana
5	TIGRAI	I	ane
6	AMHARIC_3	I	əne
7	HARARI_2	I	an
8	MEHRI_2	I	hoh
9	JIBBALI	I	he
10	SOQOTRI_2	I	hohon
11	SIWA	I	niʃ
12	GHADAMES_2	I	neʃ
13	AHAGGAR	I	nək
14	ZENAGA_2	I	nik
15	QABYLE	I	nək
16	HAUSA_3	I	na
17	BOLEWA	I	ina
18	BEJA_2	I	ani
19	OROMO	I	ana
20	DAHALO_2	I	aɲi
21	KAFFA	I	ta
22	SYRIAC_2	come	tj
23	ARABIC_QURANIC	come	tj
24	ARABIC_LEBANESE	come	əʒa
25	GEEZ	come	mt͡sʔ
26	TIGRAI	come	masχʔe
27	AMHARIC_3	come	məta
28	MEHRI_2	come	nukaχ
29	JIBBALI	come	nikaχ
30	SOQOTRI_2	come	ɡedah
31	SIWA	come	us
32	GHADAMES_2	come	as
33	AHAGGAR	come	as
34	ZENAGA_2	come	ʃed
35	QABYLE	come	as
36	HAUSA_3	come	zo
37	BOLEWA	come	diŋɡo
38	BEJA_2	come	jit
39	OROMO	come	dufa
40	DAHALO_2	come	haχ
41	KAFFA	come	wa
42	SYRIAC_2	water	maje
43	ARABIC_QURANIC	water	ma
44	ARABIC_LEBANESE	water	maj
45	GEEZ	water	maj
46	TIGRAI	water	maj
47	HARARI_2	water	mij
48	MEHRI_2	water	χemuh
49	JIBBALI	water	mih
50	SOQOTRI_2	water	riho
51	SIWA	water	aman
52	GHADAMES_2	water	aman
53	AHAGGAR	water	aman
54	ZENAGA_2	water	aman
55	QABYLE	water	aman
56	HAUSA_3	water	ruwa
57	BOLEWA	water	əma
58	BEJA_2	water	jam
59	OROMO	water	bisan
60	DAHALO_2	water	maʔa
61	KAFFA	water	at͡ʃo
62	SYRIAC_2	mountain	tχur
63	ARABIC_QURANIC	mountain	ʒabal
64	ARABIC_LEBANESE	mountain	ʒabel
65	GEEZ	mountain	dabər
66	AMHARIC_3	mountain	tərara
67	HARARI_2	mountain	sɛri
68	MEHRI_2	mountain	karmajm
69	JIBBALI	mountain	her
70	SOQOTRI_2	mountain	fedehon
71	SIWA	mountain	adrar
72	GHADAMES_2	mountain	adurar
73	AHAGGAR	mountain	adrar
74	QABYLE	mountain	adrar
75	HAUSA_3	mountain	dut͡ʃʼe
76	BOLEWA	mountain	ɡuoʃəw
77	OROMO	mountain	tulu
78	KAFFA	mountain	ɡudo
79	SYRIAC_2	sun	ʃemʃ
80	ARABIC_QURANIC	sun	ʃams
81	ARABIC_LEBANESE	sun	ʃaməs
82	GEEZ	sun	daχaj
83	TIGRAI	sun	sχaχaj
84	AMHARIC_3	sun	tehaj
85	HARARI_2	sun	ir
86	MEHRI_2	sun	χəjum
87	JIBBALI	sun	jum
88	SOQOTRI_2	sun	ʃam
89	SIWA	sun	tfukt
90	GHADAMES_2	sun	isi
91	AHAGGAR	sun	tafuk
92	ZENAGA_2	sun	təʔfukt
93	QABYLE	sun	itiʒ
94	HAUSA_3	sun	rana
95	BOLEWA	sun	futi
96	BEJA_2	sun	jin
97	OROMO	sun	adu
98	KAFFA	sun	abo
99	SYRIAC_2	star	kawbəb
100	ARABIC_QURANIC	star	kawkab
101	ARABIC_LEBANESE	star	niʒmi
102	GEEZ	star	kokab
103	TIGRAI	star	kokob
104	AMHARIC_3	star	kokəb
105	HARARI_2	star	tuj
106	MEHRI_2	star	kebkib
107	JIBBALI	star	kəbkeb
108	SOQOTRI_2	star	kibʃib
109	SIWA	star	iri
110	GHADAMES_2	star	iri
111	AHAGGAR	star	atri
112	ZENAGA_2	star	edəri
113	QABYLE	star	itri
114	HAUSA_3	star	tauraro
115	BOLEWA	star	d͡ʒand͡ʒa
116	BEJA_2	star	hajuk
117	OROMO	star	urd͡ʒi
118	KAFFA	star	tod͡ʒano
119	SYRIAC_2	one	χad
120	ARABIC_QURANIC	one	waχid
121	ARABIC_LEBANESE	one	wəχad
122	GEEZ	one	aχadu
123	TIGRAI	one	χada
124	AMHARIC_3	one	and
125	HARARI_2	one	aχad
126	MEHRI_2	one	tat
127	JIBBALI	one	tad
128	SOQOTRI_2	one	tad
129	SIWA	one	əd͡ʒən
130	GHADAMES_2	one	jun
131	AHAGGAR	one	jən
132	ZENAGA_2	one	juʔu
133	QABYLE	one	jiwən
134	HAUSA_3	one	daja
135	BOLEWA	one	modi
136	BEJA_2	one	ɡar
137	OROMO	one	toko
138	DAHALO_2	one	watukʷe
139	KAFFA	one	iko
140	SYRIAC_2	two	taren
141	ARABIC_QURANIC	two	iθnani
142	ARABIC_LEBANESE	two	tnejn
143	GEEZ	two	kəlʔe
144	TIGRAI	two	kələte
145	AMHARIC_3	two	hulət
146	HARARI_2	two	koʔot
147	MEHRI_2	two	deroh
148	JIBBALI	two	troh
149	SOQOTRI_2	two	tiro
150	SIWA	two	sən
151	GHADAMES_2	two	sən
152	AHAGGAR	two	əsin
153	ZENAGA_2	two	ʃinan
154	QABYLE	two	sin
155	HAUSA_3	two	biju
156	BOLEWA	two	bolo
157	BEJA_2	two	malo
158	OROMO	two	lama
159	DAHALO_2	two	li
160	KAFFA	two	ɡuto
161	SYRIAC_2	stone	kəp
162	ARABIC_QURANIC	stone	χaʒar
163	ARABIC_LEBANESE	stone	χaʒar
164	GEEZ	stone	əbən
165	TIGRAI	stone	əməni
166	HARARI_2	stone	un
167	MEHRI_2	stone	t͡sower
168	JIBBALI	stone	fudun
169	SOQOTRI_2	stone	oben
170	SIWA	stone	txoxət
171	GHADAMES_2	stone	irəɡ
172	AHAGGAR	stone	ablal
173	ZENAGA_2	stone	tiʔrɡət
174	QABYLE	stone	adxax
175	HAUSA_3	stone	dut͡sʼe
176	BOLEWA	stone	ɡuso
177	OROMO	stone	daɡa
178	KAFFA	stone	taqo
179	SYRIAC_2	skin	meʃk
180	ARABIC_QURANIC	skin	ʒild
181	ARABIC_LEBANESE	skin	ʒild
182	GEEZ	skin	maχəs
183	TIGRAI	skin	kʷərbat
184	AMHARIC_3	skin	kodə
185	MEHRI_2	skin	ɡɛd
186	JIBBALI	skin	ɡod
187	SOQOTRI_2	skin	ɡad
188	SIWA	skin	iləm
189	GHADAMES_2	skin	iləm
190	AHAGGAR	skin	eləm
191	ZENAGA_2	skin	əd͡ʒəm
192	QABYLE	skin	aɡʷlim
193	HAUSA_3	skin	fata
194	BOLEWA	skin	iʃi
195	BEJA_2	skin	ada
196	OROMO	skin	ɡoɡa
197	DAHALO_2	skin	ɡino
198	KAFFA	skin	ɡoko
199	SYRIAC_2	fire	nur
200	ARABIC_QURANIC	fire	nar
201	ARABIC_LEBANESE	fire	nar
202	GEEZ	fire	əsat
203	TIGRAI	fire	χawi
204	AMHARIC_3	fire	əsat
205	HARARI_2	fire	isat
206	MEHRI_2	fire	siwot
207	JIBBALI	fire	ʃot
208	SOQOTRI_2	fire	ʃijat
209	SIWA	fire	təmsi
210	GHADAMES_2	fire	ufa
211	AHAGGAR	fire	temse
212	ZENAGA_2	fire	ozun
213	QABYLE	fire	timəs
214	HAUSA_3	fire	wuta
215	BOLEWA	fire	wəsi
216	BEJA_2	fire	nʔa
217	OROMO	fire	ibida
218	DAHALO_2	fire	eɡa
219	KAFFA	fire	qaqo
220	SYRIAC_2	fish	nun
221	ARABIC_QURANIC	fish	χut
222	ARABIC_LEBANESE	fish	nun
223	HARARI_2	fish	tulɛm
224	MEHRI_2	fish	t͡sajd
225	JIBBALI	fish	t͡sod
226	SOQOTRI_2	fish	sode
227	GHADAMES_2	fish	ulisma
228	AHAGGAR	fish	asulməj
229	ZENAGA_2	fish	sid͡ʒman
230	QABYLE	fish	asləm
231	HAUSA_3	fish	kifi
232	BOLEWA	fish	kirwo
233	BEJA_2	fish	asa
234	OROMO	fish	qurtumi
235	DAHALO_2	fish	mbalabe
236	KAFFA	fish	haso
237	SYRIAC_2	dog	kalb
238	ARABIC_QURANIC	dog	kalb
239	ARABIC_LEBANESE	dog	kaləb
240	GEEZ	dog	kaləb
241	TIGRAI	dog	kalbi
242	MEHRI_2	dog	mbajl
243	JIBBALI	dog	kob
244	SIWA	dog	aɡurzəni
245	GHADAMES_2	dog	idi
246	AHAGGAR	dog	ejdi
247	ZENAGA_2	dog	idi
248	QABYLE	dog	ajdi
249	HAUSA_3	dog	kare
250	BOLEWA	dog	kuti
251	BEJA_2	dog	jas
252	OROMO	dog	sare
