CONCEPT	DOCULECT	IPA	ID
I (1sg)	Old_Kannada	aːn	1
I (1sg)	Old_Telugu	eːn	2
I (1sg)	Old_Malayalam	eːn	3
I (1sg)	Old_Tamil	jaːn	4
you (2sg)	Old_Kannada	niː	5
you (2sg)	Old_Telugu	iːʋu	6
you (2sg)	Old_Malayalam	n̪iː	7
you (2sg)	Old_Tamil	n̪iː	8
he (3sg)	Old_Kannada	t̪aːn	9
he (3sg)	Old_Telugu	at̪anru	10
he (3sg)	Old_Malayalam	aʋan	11
he (3sg)	Old_Tamil	t̪aːn	12
we (1pl)	Old_Kannada	naːm	13
we (1pl)	Old_Telugu	eːmu	14
we (1pl)	Old_Malayalam	n̪aːm	15
we (1pl)	Old_Tamil	n̪aːm	16
you (2pl)	Old_Kannada	niːm	17
you (2pl)	Old_Telugu	iːɾu	18
you (2pl)	Old_Malayalam	n̪iŋːaɭ	19
you (2pl)	Old_Tamil	n̪iːɾ	20
they (3pl)	Old_Kannada	t̪aːm	21
they (3pl)	Old_Telugu	t̪aːɾu	22
they (3pl)	Old_Malayalam	aʋar	23
they (3pl)	Old_Tamil	t̪aːm	24
this	Old_Kannada	id̪u	25
this	Old_Telugu	id̪i	26
this	Old_Malayalam	it̪ə	27
this	Old_Tamil	ixt̪u	28
that	Old_Kannada	ad̪u	29
that	Old_Telugu	ad̪i	30
that	Old_Malayalam	at̪ə	31
that	Old_Tamil	axt̪u	32
here	Old_Kannada	ilːi	33
here	Old_Telugu	in̪d̪ʊn	34
here	Old_Malayalam	iʋiʈe	35
here	Old_Tamil	iŋku	36
there	Old_Kannada	alːi	37
there	Old_Telugu	an̪d̪ʊn	38
there	Old_Malayalam	aʋiʈe	39
there	Old_Tamil	aŋku	40
who	Old_Kannada	jaːɾ	41
who	Old_Telugu	eʋaɾu	42
who	Old_Malayalam	aːɾə	43
who	Old_Tamil	jaːɾ	44
what	Old_Kannada	eːn	45
what	Old_Telugu	eːmi	46
what	Old_Malayalam	en̪t̪ə	47
what	Old_Tamil	enːa	48
where	Old_Kannada	elːi	49
where	Old_Telugu	en̪d̪ʊn	50
where	Old_Malayalam	eʋiʈe	51
where	Old_Tamil	jaːŋku	52
when	Old_Kannada	jaːʋaːɡa	53
when	Old_Telugu	epːʊɖu	54
when	Old_Malayalam	epːoːɭ	55
when	Old_Tamil	jaːɳʈu	56
how	Old_Kannada	heːɡe	57
how	Old_Telugu	eʈʊlu	58
how	Old_Malayalam	eŋːane	59
how	Old_Tamil	jaːŋku	60
not	Old_Kannada	alːa	61
not	Old_Telugu	leːd̪u	62
not	Old_Malayalam	ilːa	63
not	Old_Tamil	il	64
all	Old_Kannada	elːa	65
all	Old_Telugu	elːa	66
all	Old_Malayalam	elːa	67
all	Old_Tamil	elːa	68
many	Old_Kannada	pala	69
many	Old_Telugu	palu	70
many	Old_Malayalam	pala	71
many	Old_Tamil	pala	72
some	Old_Kannada	kela	73
some	Old_Telugu	kond̪aɾu	74
some	Old_Malayalam	t͡ʃila	75
some	Old_Tamil	t͡ʃila	76
few	Old_Kannada	koɲt͡ʃa	77
few	Old_Telugu	kod̪ːi	78
few	Old_Malayalam	kurat͡ʃːə	79
few	Old_Tamil	koɲt͡ʃam	80
other	Old_Kannada	beːɾe	81
other	Old_Telugu	ʋeːɾeː	82
other	Old_Malayalam	matːə	83
other	Old_Tamil	pira	84
one	Old_Kannada	on̪d̪u	85
one	Old_Telugu	oɳɖu	86
one	Old_Malayalam	on̪ːə	87
one	Old_Tamil	onru	88
two	Old_Kannada	eɾaɖu	89
two	Old_Telugu	ɾeɳɖu	90
two	Old_Malayalam	ɾaɳʈə	91
two	Old_Tamil	iɾaɳʈu	92
three	Old_Kannada	muːru	93
three	Old_Telugu	muːnru	94
