CONCEPT	DOCULECT	IPA	ID
I (1sg)	Armenian	jɛs	1
I (1sg)	Old_Kannada	aːn	2
I (1sg)	Old_Telugu	eːn	3
I (1sg)	Old_Malayalam	eːn	4
I (1sg)	Old_Tamil	jaːn	5
I (1sg)	Greek_Anc	eɡɔ́ː	6
I (1sg)	Latin	ˈeɡo	7
I (1sg)	Old_French	d͡ʒə	8
I (1sg)	Old_Norse	ek	9
I (1sg)	Old_High_German	ix	10
I (1sg)	Old_English	it͡ʃ	11
I (1sg)	Old_Irish	me:	12
I (1sg)	Old_Church_Slavonic	ɑzʊ̆	13
I (1sg)	Sanskrit	ɐɦɐm	14
I (1sg)	Pali	ɐɦã	15
I (1sg)	Middle_Persian	an	16
you (2sg)	Armenian	du	17
you (2sg)	Old_Kannada	niː	18
you (2sg)	Old_Telugu	iːʋu	19
you (2sg)	Old_Malayalam	n̪iː	20
you (2sg)	Old_Tamil	n̪iː	21
you (2sg)	Greek_Anc	sý	22
you (2sg)	Latin	tuː	23
you (2sg)	Old_French	ty	24
you (2sg)	Old_Norse	θuː	25
you (2sg)	Old_High_German	duː	26
you (2sg)	Old_English	θuː	27
you (2sg)	Old_Irish	tu:	28
you (2sg)	Old_Church_Slavonic	tɯ	29
you (2sg)	Sanskrit	t̪ʋɐm	30
you (2sg)	Pali	t̪ʋã	31
you (2sg)	Middle_Persian	to:	32
he (3sg)	Armenian	nɑ	33
he (3sg)	Old_Kannada	t̪aːn	34
he (3sg)	Old_Telugu	at̪anru	35
he (3sg)	Old_Malayalam	aʋan	36
he (3sg)	Old_Tamil	t̪aːn	37
he (3sg)	Greek_Anc	autós	38
he (3sg)	Latin	is	39
he (3sg)	Old_French	il	40
he (3sg)	Old_Norse	hanː	41
he (3sg)	Old_High_German	er	42
he (3sg)	Old_English	heː	43
he (3sg)	Old_Irish	e:	44
he (3sg)	Old_Church_Slavonic	ɔnʊ̆	45
he (3sg)	Sanskrit	sɐ	46
he (3sg)	Pali	so	47
he (3sg)	Middle_Persian	o:j	48
we (1pl)	Armenian	mɛkʰ	49
we (1pl)	Old_Kannada	naːm	50
we (1pl)	Old_Telugu	eːmu	51
we (1pl)	Old_Malayalam	n̪aːm	52
we (1pl)	Old_Tamil	n̪aːm	53
we (1pl)	Greek_Anc	hɛːmeːs	54
we (1pl)	Latin	noːs	55
we (1pl)	Old_French	nus	56
we (1pl)	Old_Norse	veːr	57
we (1pl)	Old_High_German	wiːr	58
we (1pl)	Old_English	weː	59
we (1pl)	Old_Irish	sʹnʹi:	60
we (1pl)	Old_Church_Slavonic	mɯ	61
we (1pl)	Sanskrit	ʋɐjɐm	62
we (1pl)	Pali	ɐmɦe	63
we (1pl)	Middle_Persian	amɑ:h	64
you (2pl)	Armenian	dukʰ	65
you (2pl)	Old_Kannada	niːm	66
you (2pl)	Old_Telugu	iːɾu	67
you (2pl)	Old_Malayalam	n̪iŋːaɭ	68
you (2pl)	Old_Tamil	n̪iːɾ	69
you (2pl)	Greek_Anc	hyːmeːs	70
you (2pl)	Latin	woːs	71
you (2pl)	Old_French	vus	72
you (2pl)	Old_Norse	θeːr	73
you (2pl)	Old_High_German	iːr	74
you (2pl)	Old_English	jeː	75
you (2pl)	Old_Irish	sʹi:β	76
you (2pl)	Old_Church_Slavonic	vɯ	77
you (2pl)	Sanskrit	juːjɐm	78
you (2pl)	Pali	t̪umɦe	79
you (2pl)	Middle_Persian	aʃmɑ:h	80
they (3pl)	Armenian	nəˈɾɑŋkʰ	81
they (3pl)	Old_Kannada	t̪aːm	82
they (3pl)	Old_Telugu	t̪aːɾu	83
they (3pl)	Old_Malayalam	aʋar	84
they (3pl)	Old_Tamil	t̪aːm	85
they (3pl)	Greek_Anc	autǒi	86
they (3pl)	Latin	eiː	87
they (3pl)	Old_French	il	88
they (3pl)	Old_Norse	θɛir	89
they (3pl)	Old_High_German	siː	90
they (3pl)	Old_English	hiːy̯	91
they (3pl)	Old_Irish	e:	92
they (3pl)	Old_Church_Slavonic	ɔni	93
they (3pl)	Sanskrit	t̪e	94
they (3pl)	Pali	t̪e	95
they (3pl)	Middle_Persian	awe:ʃɑ:n	96
this	Armenian	ɑjs	97
this	Old_Kannada	id̪u	98
this	Old_Telugu	id̪i	99
this	Old_Malayalam	it̪ə	100
this	Old_Tamil	ixt̪u	101
this	Greek_Anc	hóde	102
this	Latin	hik	103
this	Old_French	t͡sist	104
this	Old_Norse	ˈθesːi	105
this	Old_High_German	deseːr	106
this	Old_English	θis	107
this	Old_Irish	sə	108
this	Old_Church_Slavonic	sɪ̆	109
this	Sanskrit	id̪ɐm	110
this	Pali	id̪ã	111
this	Middle_Persian	e:n	112
that	Armenian	ɑjn	113
that	Old_Kannada	ad̪u	114
that	Old_Telugu	ad̪i	115
that	Old_Malayalam	at̪ə	116
that	Old_Tamil	axt̪u	117
that	Greek_Anc	ekêːnos	118
that	Latin	ˈilːe	119
that	Old_French	t͡sist	120
that	Old_Norse	θat	121
that	Old_High_German	jeneːr	122
that	Old_English	θæt	123
that	Old_Irish	sʹinʹ	124
that	Old_Church_Slavonic	tʊ̆	125
that	Sanskrit	ɐd̪ɐs	126
that	Pali	t̪ɐd̪	127
that	Middle_Persian	ɑ:n	128
here	Armenian	ɑjsˈtɛʁ	129
here	Old_Kannada	ilːi	130
here	Old_Telugu	in̪d̪ʊn	131
here	Old_Malayalam	iʋiʈe	132
here	Old_Tamil	iŋku	133
here	Greek_Anc	éntʰa	134
here	Latin	hiːk	135
here	Old_French	t͡si	136
here	Old_Norse	heːr	137
here	Old_High_German	hiːr	138
here	Old_English	heːr	139
here	Old_Irish	sund	140
here	Old_Church_Slavonic	sɪ̆dɛ	141
here	Sanskrit	ɐt̪ɾɐ	142
here	Pali	id̪ʱɐ	143
here	Middle_Persian	e:daɾ	144
there	Armenian	ɑjnˈtɛʁ	145
there	Old_Kannada	alːi	146
there	Old_Telugu	an̪d̪ʊn	147
there	Old_Malayalam	aʋiʈe	148
there	Old_Tamil	aŋku	149
there	Greek_Anc	ekêː	150
there	Latin	ˈibiː	151
there	Old_French	la	152
there	Old_Norse	θar	153
there	Old_High_German	daːr	154
there	Old_English	θæːr	155
there	Old_Irish	tal	156
there	Old_Church_Slavonic	tu	157
there	Sanskrit	t̪ɐt̪ɾɐ	158
there	Pali	t̪ɐt̪ʰːɐ	159
there	Middle_Persian	ɑ:no:h	160
who	Armenian	ɔv	161
who	Old_Kannada	jaːɾ	162
who	Old_Telugu	eʋaɾu	163
who	Old_Malayalam	aːɾə	164
who	Old_Tamil	jaːɾ	165
who	Greek_Anc	tís	166
who	Latin	kʷiː	167
who	Old_French	ki	168
who	Old_Norse	ɣverː	169
who	Old_High_German	weːr	170
who	Old_English	ʍɑː	171
who	Old_Irish	kʹi:ə	172
who	Old_Church_Slavonic	kʊ̆tɔ	173
who	Sanskrit	kɐ	174
who	Pali	kɐ	175
who	Middle_Persian	ke:	176
what	Armenian	int͡ʃʰ	177
what	Old_Kannada	eːn	178
what	Old_Telugu	eːmi	179
what	Old_Malayalam	en̪t̪ə	180
what	Old_Tamil	enːa	181
what	Greek_Anc	tí	182
what	Latin	kʷid	183
what	Old_French	kə	184
what	Old_Norse	ɣvat	185
what	Old_High_German	was	186
what	Old_English	ʍæt	187
what	Old_Irish	kʹiðʹ	188
what	Old_Church_Slavonic	tʃɪ̆tɔ	189
what	Sanskrit	kim	190
what	Pali	kĩ	191
what	Middle_Persian	t͡ɕe:	192
where	Armenian	uɾ	193
where	Old_Kannada	elːi	194
where	Old_Telugu	en̪d̪ʊn	195
where	Old_Malayalam	eʋiʈe	196
where	Old_Tamil	jaːŋku	197
where	Greek_Anc	puː	198
where	Latin	ˈubi	199
where	Old_French	u	200
where	Old_Norse	ɣvar	201
where	Old_High_German	xwaːr	202
where	Old_English	ʍæːr	203
where	Old_Irish	kʹi:ə	204
where	Old_Church_Slavonic	kʊ̆dɛ	205
where	Sanskrit	kut̪ɾɐ	206
where	Pali	kɐt̪ʰːɐ	207
where	Middle_Persian	ku:	208
when	Armenian	jɛɾpʰ	209
when	Old_Kannada	jaːʋaːɡa	210
when	Old_Telugu	epːʊɖu	211
when	Old_Malayalam	epːoːɭ	212
when	Old_Tamil	jaːɳʈu	213
when	Greek_Anc	póte	214
when	Latin	ˈkwandoː	215
when	Old_French	kant	216
when	Old_Norse	ˈɣveːˌnɛːr	217
when	Old_High_German	wanːə	218
when	Old_English	ˈʍænːe	219
when	Old_Irish	kunʹ	220
when	Old_Church_Slavonic	kɔɡdɑ	221
when	Sanskrit	kɐdaː	222
when	Pali	kɐraːɦi	223
when	Middle_Persian	kaj	224
how	Armenian	int͡ʃʰˈpɛs	225
how	Old_Kannada	heːɡe	226
how	Old_Telugu	eʈʊlu	227
how	Old_Malayalam	eŋːane	228
how	Old_Tamil	jaːŋku	229
how	Greek_Anc	pɔːs	230
how	Latin	ˈkʷoːmodo	231
how	Old_French	komant	232
how	Old_Norse	ɣveː	233
how	Old_High_German	xwio	234
how	Old_English	huː	235
how	Old_Irish	kʹi:ə_kruθ	236
how	Old_Church_Slavonic	kɑkɔ	237
how	Sanskrit	kɐt̪ʰɐm	238
how	Pali	kɐt̪ʰã	239
how	Middle_Persian	t͡ɕijo:n	240
not	Armenian	vɔt͡ʃʰ	241
not	Old_Kannada	alːa	242
not	Old_Telugu	leːd̪u	243
not	Old_Malayalam	ilːa	244
not	Old_Tamil	il	245
not	Greek_Anc	uː	246
not	Latin	noːn	247
not	Old_French	nə	248
not	Old_Norse	ˈekːi	249
not	Old_High_German	nio	250
not	Old_English	ne	251
not	Old_Irish	nʹi:	252
not	Old_Church_Slavonic	nɛ	253
not	Sanskrit	nɐ	254
not	Pali	nɐ	255
not	Middle_Persian	ne:	256
all	Armenian	bɔˈlɔɾ	257
all	Old_Kannada	elːa	258
all	Old_Telugu	elːa	259
all	Old_Malayalam	elːa	260
all	Old_Tamil	elːa	261
all	Greek_Anc	pȃːs	262
all	Latin	ˈomnis	263
all	Old_French	tut	264
all	Old_Norse	alːɪr	265
all	Old_High_German	al	266
all	Old_English	æɑ̯ɫː	267
all	Old_Irish	ulʹe	268
all	Old_Church_Slavonic	vɪ̆si	269
all	Sanskrit	sɐɾʋe	270
all	Pali	sɐbːɐ	271
all	Middle_Persian	wisp	272
many	Armenian	ʃɑt	273
many	Old_Kannada	pala	274
many	Old_Telugu	palu	275
many	Old_Malayalam	pala	276
many	Old_Tamil	pala	277
many	Greek_Anc	polýs	278
many	Latin	multiː	279
many	Old_French	mult	280
many	Old_Norse	ˈmarɡir	281
many	Old_High_German	manaɡ	282
many	Old_English	ˈmɒnij	283
many	Old_Irish	ilʹ	284
many	Old_Church_Slavonic	mʊ̆nɔɡɔ	285
many	Sanskrit	bɐɦu	286
many	Pali	bɐɦu	287
many	Middle_Persian	was	288
some	Armenian	vɔˈɾɔʃ	289
some	Old_Kannada	kela	290
some	Old_Telugu	kond̪aɾu	291
some	Old_Malayalam	t͡ʃila	292
some	Old_Tamil	t͡ʃila	293
some	Greek_Anc	tines	294
some	Latin	ˈalɪkʷiː	295
some	Old_French	kelkəs	296
some	Old_Norse	ˈnokːurir	297
some	Old_High_German	sum	298
some	Old_English	sum	299
some	Old_Irish	e:ɡʹənʹ	300
some	Sanskrit	kiɲt͡ɕid̪	301
some	Pali	kotʃi	302
some	Middle_Persian	t͡ɕand	303
few	Old_Kannada	koɲt͡ʃa	304
