CONCEPT	DOCULECT	IPA	ID
I (1sg)	Georgian	me	1
I (1sg)	Old_Kannada	aːn	2
I (1sg)	Old_Telugu	eːn	3
I (1sg)	Old_Malayalam	eːn	4
I (1sg)	Old_Tamil	jaːn	5
you (2sg)	Georgian	ʃen	6
you (2sg)	Old_Kannada	niː	7
you (2sg)	Old_Telugu	iːʋu	8
you (2sg)	Old_Malayalam	n̪iː	9
you (2sg)	Old_Tamil	n̪iː	10
he (3sg)	Georgian	is	11
he (3sg)	Old_Kannada	t̪aːn	12
he (3sg)	Old_Telugu	at̪anru	13
he (3sg)	Old_Malayalam	aʋan	14
he (3sg)	Old_Tamil	t̪aːn	15
we (1pl)	Georgian	t͡ʃʰʷen	16
we (1pl)	Old_Kannada	naːm	17
we (1pl)	Old_Telugu	eːmu	18
we (1pl)	Old_Malayalam	n̪aːm	19
we (1pl)	Old_Tamil	n̪aːm	20
you (2pl)	Georgian	tʰkʰʷen	21
you (2pl)	Old_Kannada	niːm	22
you (2pl)	Old_Telugu	iːɾu	23
you (2pl)	Old_Malayalam	n̪iŋːaɭ	24
you (2pl)	Old_Tamil	n̪iːɾ	25
they (3pl)	Georgian	isini	26
they (3pl)	Old_Kannada	t̪aːm	27
they (3pl)	Old_Telugu	t̪aːɾu	28
they (3pl)	Old_Malayalam	aʋar	29
they (3pl)	Old_Tamil	t̪aːm	30
this	Georgian	es	31
this	Old_Kannada	id̪u	32
this	Old_Telugu	id̪i	33
this	Old_Malayalam	it̪ə	34
this	Old_Tamil	ixt̪u	35
that	Georgian	is	36
that	Old_Kannada	ad̪u	37
that	Old_Telugu	ad̪i	38
that	Old_Malayalam	at̪ə	39
that	Old_Tamil	axt̪u	40
here	Georgian	ak	41
here	Old_Kannada	ilːi	42
here	Old_Telugu	in̪d̪ʊn	43
here	Old_Malayalam	iʋiʈe	44
here	Old_Tamil	iŋku	45
there	Georgian	ik	46
there	Old_Kannada	alːi	47
there	Old_Telugu	an̪d̪ʊn	48
there	Old_Malayalam	aʋiʈe	49
there	Old_Tamil	aŋku	50
who	Georgian	vin	51
who	Old_Kannada	jaːɾ	52
who	Old_Telugu	eʋaɾu	53
who	Old_Malayalam	aːɾə	54
who	Old_Tamil	jaːɾ	55
what	Georgian	ɾa	56
what	Old_Kannada	eːn	57
what	Old_Telugu	eːmi	58
what	Old_Malayalam	en̪t̪ə	59
what	Old_Tamil	enːa	60
where	Georgian	sad	61
where	Old_Kannada	elːi	62
where	Old_Telugu	en̪d̪ʊn	63
where	Old_Malayalam	eʋiʈe	64
where	Old_Tamil	jaːŋku	65
when	Georgian	ɾodis	66
when	Old_Kannada	jaːʋaːɡa	67
when	Old_Telugu	epːʊɖu	68
when	Old_Malayalam	epːoːɭ	69
when	Old_Tamil	jaːɳʈu	70
how	Georgian	ɾoɡoɾ	71
how	Old_Kannada	heːɡe	72
how	Old_Telugu	eʈʊlu	73
how	Old_Malayalam	eŋːane	74
how	Old_Tamil	jaːŋku	75
not	Georgian	aɾ	76
not	Old_Kannada	alːa	77
not	Old_Telugu	leːd̪u	78
not	Old_Malayalam	ilːa	79
not	Old_Tamil	il	80
all	Georgian	χʼʷeɫapʰeɾi	81
all	Old_Kannada	elːa	82
all	Old_Telugu	elːa	83
all	Old_Malayalam	elːa	84
all	Old_Tamil	elːa	85
many	Georgian	bevɾi	86
many	Old_Kannada	pala	87
many	Old_Telugu	palu	88
many	Old_Malayalam	pala	89
many	Old_Tamil	pala	90
some	Georgian	ɾamdenime	91
some	Old_Kannada	kela	92
some	Old_Telugu	kond̪aɾu	93
some	Old_Malayalam	t͡ʃila	94
some	Old_Tamil	t͡ʃila	95
few	Georgian	t͡sʰotʼa	96
few	Old_Kannada	koɲt͡ʃa	97
few	Old_Telugu	kod̪ːi	98
few	Old_Malayalam	kurat͡ʃːə	99
few	Old_Tamil	koɲt͡ʃam	100
other	Georgian	sχʷa	101
other	Old_Kannada	beːɾe	102
other	Old_Telugu	ʋeːɾeː	103
other	Old_Malayalam	matːə	104
other	Old_Tamil	pira	105
one	Georgian	eɾtʰi	106
one	Old_Kannada	on̪d̪u	107
one	Old_Telugu	oɳɖu	108
one	Old_Malayalam	on̪ːə	109
one	Old_Tamil	onru	110
two	Georgian	oɾi	111
two	Old_Kannada	eɾaɖu	112
two	Old_Telugu	ɾeɳɖu	113
two	Old_Malayalam	ɾaɳʈə	114
two	Old_Tamil	iɾaɳʈu	115
three	Georgian	sami	116
three	Old_Kannada	muːru	117
three	Old_Telugu	muːnru	118
three	Old_Malayalam	muːn̪ːə	119
