CONCEPT	DOCULECT	IPA	ID
I (1sg)	Georgian	me	1
I (1sg)	Armenian	jɛs	2
I (1sg)	Greek_Anc	eɡɔ́ː	3
I (1sg)	Latin	ˈeɡo	4
I (1sg)	Old_French	d͡ʒə	5
I (1sg)	Old_Norse	ek	6
I (1sg)	Old_High_German	ix	7
I (1sg)	Old_English	it͡ʃ	8
I (1sg)	Old_Irish	me:	9
I (1sg)	Old_Church_Slavonic	ɑzʊ̆	10
I (1sg)	Sanskrit	ɐɦɐm	11
I (1sg)	Pali	ɐɦã	12
I (1sg)	Middle_Persian	an	13
you (2sg)	Georgian	ʃen	14
you (2sg)	Armenian	du	15
you (2sg)	Greek_Anc	sý	16
you (2sg)	Latin	tuː	17
you (2sg)	Old_French	ty	18
you (2sg)	Old_Norse	θuː	19
you (2sg)	Old_High_German	duː	20
you (2sg)	Old_English	θuː	21
you (2sg)	Old_Irish	tu:	22
you (2sg)	Old_Church_Slavonic	tɯ	23
you (2sg)	Sanskrit	t̪ʋɐm	24
you (2sg)	Pali	t̪ʋã	25
you (2sg)	Middle_Persian	to:	26
he (3sg)	Georgian	is	27
he (3sg)	Armenian	nɑ	28
he (3sg)	Greek_Anc	autós	29
he (3sg)	Latin	is	30
he (3sg)	Old_French	il	31
he (3sg)	Old_Norse	hanː	32
he (3sg)	Old_High_German	er	33
he (3sg)	Old_English	heː	34
he (3sg)	Old_Irish	e:	35
he (3sg)	Old_Church_Slavonic	ɔnʊ̆	36
he (3sg)	Sanskrit	sɐ	37
he (3sg)	Pali	so	38
he (3sg)	Middle_Persian	o:j	39
we (1pl)	Georgian	t͡ʃʰʷen	40
we (1pl)	Armenian	mɛkʰ	41
we (1pl)	Greek_Anc	hɛːmeːs	42
we (1pl)	Latin	noːs	43
we (1pl)	Old_French	nus	44
we (1pl)	Old_Norse	veːr	45
we (1pl)	Old_High_German	wiːr	46
we (1pl)	Old_English	weː	47
we (1pl)	Old_Irish	sʹnʹi:	48
we (1pl)	Old_Church_Slavonic	mɯ	49
we (1pl)	Sanskrit	ʋɐjɐm	50
we (1pl)	Pali	ɐmɦe	51
we (1pl)	Middle_Persian	amɑ:h	52
you (2pl)	Georgian	tʰkʰʷen	53
you (2pl)	Armenian	dukʰ	54
you (2pl)	Greek_Anc	hyːmeːs	55
you (2pl)	Latin	woːs	56
you (2pl)	Old_French	vus	57
you (2pl)	Old_Norse	θeːr	58
you (2pl)	Old_High_German	iːr	59
you (2pl)	Old_English	jeː	60
you (2pl)	Old_Irish	sʹi:β	61
you (2pl)	Old_Church_Slavonic	vɯ	62
you (2pl)	Sanskrit	juːjɐm	63
you (2pl)	Pali	t̪umɦe	64
you (2pl)	Middle_Persian	aʃmɑ:h	65
they (3pl)	Georgian	isini	66
they (3pl)	Armenian	nəˈɾɑŋkʰ	67
they (3pl)	Greek_Anc	autǒi	68
they (3pl)	Latin	eiː	69
they (3pl)	Old_French	il	70
they (3pl)	Old_Norse	θɛir	71
they (3pl)	Old_High_German	siː	72
they (3pl)	Old_English	hiːy̯	73
they (3pl)	Old_Irish	e:	74
they (3pl)	Old_Church_Slavonic	ɔni	75
they (3pl)	Sanskrit	t̪e	76
they (3pl)	Pali	t̪e	77
they (3pl)	Middle_Persian	awe:ʃɑ:n	78
this	Georgian	es	79
this	Armenian	ɑjs	80
this	Greek_Anc	hóde	81
this	Latin	hik	82
this	Old_French	t͡sist	83
this	Old_Norse	ˈθesːi	84
this	Old_High_German	deseːr	85
this	Old_English	θis	86
this	Old_Irish	sə	87
this	Old_Church_Slavonic	sɪ̆	88
this	Sanskrit	id̪ɐm	89
this	Pali	id̪ã	90
this	Middle_Persian	e:n	91
that	Georgian	is	92
that	Armenian	ɑjn	93
that	Greek_Anc	ekêːnos	94
that	Latin	ˈilːe	95
that	Old_French	t͡sist	96
that	Old_Norse	θat	97
that	Old_High_German	jeneːr	98
that	Old_English	θæt	99
that	Old_Irish	sʹinʹ	100
that	Old_Church_Slavonic	tʊ̆	101
that	Sanskrit	ɐd̪ɐs	102
that	Pali	t̪ɐd̪	103
that	Middle_Persian	ɑ:n	104
here	Georgian	ak	105
here	Armenian	ɑjsˈtɛʁ	106
here	Greek_Anc	éntʰa	107
here	Latin	hiːk	108
here	Old_French	t͡si	109
here	Old_Norse	heːr	110
here	Old_High_German	hiːr	111
here	Old_English	heːr	112
here	Old_Irish	sund	113
here	Old_Church_Slavonic	sɪ̆dɛ	114
here	Sanskrit	ɐt̪ɾɐ	115
here	Pali	id̪ʱɐ	116
here	Middle_Persian	e:daɾ	117
there	Georgian	ik	118
there	Armenian	ɑjnˈtɛʁ	119
there	Greek_Anc	ekêː	120
there	Latin	ˈibiː	121
there	Old_French	la	122
there	Old_Norse	θar	123
there	Old_High_German	daːr	124
there	Old_English	θæːr	125
there	Old_Irish	tal	126
there	Old_Church_Slavonic	tu	127
there	Sanskrit	t̪ɐt̪ɾɐ	128
there	Pali	t̪ɐt̪ʰːɐ	129
there	Middle_Persian	ɑ:no:h	130
who	Georgian	vin	131
who	Armenian	ɔv	132
who	Greek_Anc	tís	133
who	Latin	kʷiː	134
who	Old_French	ki	135
who	Old_Norse	ɣverː	136
who	Old_High_German	weːr	137
who	Old_English	ʍɑː	138
who	Old_Irish	kʹi:ə	139
who	Old_Church_Slavonic	kʊ̆tɔ	140
who	Sanskrit	kɐ	141
who	Pali	kɐ	142
who	Middle_Persian	ke:	143
what	Georgian	ɾa	144
what	Armenian	int͡ʃʰ	145
what	Greek_Anc	tí	146
what	Latin	kʷid	147
what	Old_French	kə	148
what	Old_Norse	ɣvat	149
what	Old_High_German	was	150
