CONCEPT	DOCULECT	IPA	ID
I (1sg)	Old_Norse	ek	1
I (1sg)	Old_High_German	ix	2
I (1sg)	Old_English	it͡ʃ	3
you (2sg)	Old_Norse	θuː	4
you (2sg)	Old_High_German	duː	5
you (2sg)	Old_English	θuː	6
he (3sg)	Old_Norse	hanː	7
he (3sg)	Old_High_German	er	8
he (3sg)	Old_English	heː	9
we (1pl)	Old_Norse	veːr	10
we (1pl)	Old_High_German	wiːr	11
we (1pl)	Old_English	weː	12
you (2pl)	Old_Norse	θeːr	13
you (2pl)	Old_High_German	iːr	14
you (2pl)	Old_English	jeː	15
they (3pl)	Old_Norse	θɛir	16
they (3pl)	Old_High_German	siː	17
they (3pl)	Old_English	hiːy̯	18
this	Old_Norse	ˈθesːi	19
this	Old_High_German	deseːr	20
this	Old_English	θis	21
that	Old_Norse	θat	22
that	Old_High_German	jeneːr	23
that	Old_English	θæt	24
here	Old_Norse	heːr	25
here	Old_High_German	hiːr	26
here	Old_English	heːr	27
there	Old_Norse	θar	28
there	Old_High_German	daːr	29
there	Old_English	θæːr	30
who	Old_Norse	ɣverː	31
who	Old_High_German	weːr	32
who	Old_English	ʍɑː	33
what	Old_Norse	ɣvat	34
what	Old_High_German	was	35
what	Old_English	ʍæt	36
where	Old_Norse	ɣvar	37
where	Old_High_German	xwaːr	38
where	Old_English	ʍæːr	39
when	Old_Norse	ˈɣveːˌnɛːr	40
when	Old_High_German	wanːə	41
when	Old_English	ˈʍænːe	42
how	Old_Norse	ɣveː	43
how	Old_High_German	xwio	44
how	Old_English	huː	45
not	Old_Norse	ˈekːi	46
not	Old_High_German	nio	47
not	Old_English	ne	48
all	Old_Norse	alːɪr	49
all	Old_High_German	al	50
all	Old_English	æɑ̯ɫː	51
many	Old_Norse	ˈmarɡir	52
many	Old_High_German	manaɡ	53
many	Old_English	ˈmɒnij	54
some	Old_Norse	ˈnokːurir	55
some	Old_High_German	sum	56
some	Old_English	sum	57
few	Old_Norse	faːr	58
few	Old_High_German	fao	59
few	Old_English	fæːɑ̯w	60
other	Old_Norse	ˈanːarː	61
other	Old_High_German	ˈandar	62
other	Old_English	ˈoːðer	63
one	Old_Norse	ɛinː	64
one	Old_High_German	aɪn	65
one	Old_English	ɑːn	66
two	Old_Norse	tvau	67
two	Old_High_German	t͡sweːnə	68
two	Old_English	ˈtweːjen	69
three	Old_Norse	θrju	70
three	Old_High_German	driː	71
three	Old_English	θriː	72
four	Old_Norse	ˈfjoɡur	73
four	Old_High_German	fior	74
four	Old_English	ˈfeːo̯wer	75
five	Old_Norse	fimː	76
five	Old_High_German	fimf	77
five	Old_English	fiːf	78
long	Old_Norse	lanɣr	79
long	Old_High_German	lanɡ	80
long	Old_English	lɒŋɡ	81
wide	Old_Norse	viðr	82
wide	Old_High_German	wiːt	83
wide	Old_English	wiːd	84
thick	Old_Norse	θykːr	85
thick	Old_High_German	dikxi	86
thick	Old_English	ˈθikːe	87
heavy	Old_Norse	θunɣr	88
heavy	Old_High_German	swaːr	89
heavy	Old_English	ˈhevij	90
short	Old_Norse	stutːr	91
short	Old_High_German	skurt	92
short	Old_English	ʃorˠt	93
narrow	Old_Norse	mjoːr	94
narrow	Old_High_German	enɡi	95
narrow	Old_English	ˈnæɑ̯ru	96
thin	Old_Norse	θunːr	97
thin	Old_High_German	ˈdunːi	98
thin	Old_English	ˈθynːe	99
woman	Old_Norse	ˈkvenː	100
woman	Old_High_German	kwɛn	101
woman	Old_English	wiːf	102
man (adult male)	Old_Norse	karl	103
man (adult male)	Old_High_German	ɡomo	104
man (adult male)	Old_English	wer	105
man (human being)	Old_Norse	maðr	106
man (human being)	Old_High_German	man	107
man (human being)	Old_English	mɒnː	108
child	Old_Norse	barn	109
child	Old_High_German	kint	110
child	Old_English	t͡ʃild	111
wife	Old_Norse	ˈkona	112
wife	Old_High_German	fraʊ	113
wife	Old_English	wiːf	114
husband	Old_Norse	ˈboːndi	115
husband	Old_High_German	bruːtiɡomo	116
husband	Old_English	wer	117
animal	Old_Norse	dyːr	118
animal	Old_High_German	tior	119
animal	Old_English	ˈniːy̯ten	120
fish	Old_Norse	fiskr	121
fish	Old_High_German	fisk	122
fish	Old_English	fiʃ	123
dog	Old_Norse	hundr	124
dog	Old_High_German	hunt	125
dog	Old_English	hund	126
louse	Old_Norse	luːs	127
louse	Old_High_German	luːs	128
louse	Old_English	luːs	129
snake	Old_Norse	snaːkr	130
snake	Old_High_German	slaːnɡo	131
snake	Old_English	ˈnæːdre	132
worm	Old_Norse	ormr	133
worm	Old_High_German	wurm	134
worm	Old_English	wyrˠm	135
tree	Old_Norse	treː	136
tree	Old_High_German	boum	137
tree	Old_English	treːo̯w	138
forest	Old_Norse	skoːɡr	139
forest	Old_High_German	forst	140
forest	Old_English	ˈwudu	141
stick	Old_Norse	stavr	142
stick	Old_High_German	stok	143
stick	Old_English	ˈstikːɑ	144
fruit	Old_Norse	ˈavoxtr	145
fruit	Old_High_German	obəs	146
fruit	Old_English	ˈwæstm̩	147
seed	Old_Norse	frjoː	148
seed	Old_High_German	saːmo	149
seed	Old_English	sæːd	150
leaf	Old_Norse	lauv	151
leaf	Old_High_German	loub	152
leaf	Old_English	læːɑ̯f	153
root	Old_Norse	roːt	154
root	Old_High_German	wurt͡s	155
root	Old_English	ˈwyrˠt	156
bark (of a tree)	Old_Norse	bɔrkr	157
bark (of a tree)	Old_High_German	rinta	158
bark (of a tree)	Old_English	rind	159
flower	Old_Norse	bloːm	160
flower	Old_High_German	bluːmə	161
flower	Old_English	ˈbloːstmɑ	162
grass	Old_Norse	ɡras	163
grass	Old_High_German	ɡras	164
grass	Old_English	ɣærˠs	165
rope	Old_Norse	rɛip	166
rope	Old_High_German	raɪf	167
rope	Old_English	rɑːp	168
skin	Old_Norse	huːð	169
skin	Old_High_German	huːt	170
skin	Old_English	hyːd	171
meat	Old_Norse	kjɔt	172
meat	Old_High_German	flaɪsk	173
meat	Old_English	flæːʃ	174
blood	Old_Norse	bloːð	175
blood	Old_High_German	bluːt	176
blood	Old_English	bloːd	177
bone	Old_Norse	bɛin	178
bone	Old_High_German	knoxːa	179
bone	Old_English	bɑːn	180
fat (noun)	Old_Norse	morː	181
fat (noun)	Old_High_German	smalt͡s	182
fat (noun)	Old_English	ˈryzel	183
egg	Old_Norse	eɡː	184
egg	Old_High_German	aɪ	185
egg	Old_English	æːj	186
horn	Old_Norse	horn	187
horn	Old_High_German	horn	188
horn	Old_English	horˠn	189
tail	Old_Norse	ˈhali	190
tail	Old_High_German	stɛrts	191
tail	Old_English	ˈtæjl̩	192
feather	Old_Norse	fjɔðr	193
feather	Old_High_German	feːdərə	194
feather	Old_English	ˈfeðer	195
hair	Old_Norse	haːr	196
hair	Old_High_German	haːr	197
hair	Old_English	hæːr	198
head	Old_Norse	ˈhɔvuð	199
head	Old_High_German	haʊbit	200
head	Old_English	ˈhæːɑ̯vod	201
ear	Old_Norse	ˈɛyra	202
ear	Old_High_German	oːra	203
ear	Old_English	æːɑ̯re	204
eye	Old_Norse	ˈauɣa	205
eye	Old_High_German	aʊɡə	206
eye	Old_English	ˈæːɑ̯ɣe	207
nose	Old_Norse	nef	208
nose	Old_High_German	ˈnaːsə	209
nose	Old_English	ˈnozu	210
mouth	Old_Norse	munːr	211
mouth	Old_High_German	munt	212
mouth	Old_English	muːθ	213
tooth	Old_Norse	tɔnː	214
tooth	Old_High_German	t͡saːnt	215
tooth	Old_English	toːθ	216
tongue (organ)	Old_Norse	ˈtunɣa	217
tongue (organ)	Old_High_German	t͡suŋə	218
