CONCEPT	DOCULECT	IPA	ID
I (1sg)	Armenian	jɛs	1
I (1sg)	Greek_Anc	eɡɔ́ː	2
I (1sg)	Latin	ˈeɡo	3
I (1sg)	Old_French	d͡ʒə	4
I (1sg)	Old_Norse	ek	5
I (1sg)	Old_High_German	ix	6
I (1sg)	Old_English	it͡ʃ	7
I (1sg)	Old_Irish	me:	8
I (1sg)	Old_Church_Slavonic	ɑzʊ̆	9
I (1sg)	Sanskrit	ɐɦɐm	10
I (1sg)	Pali	ɐɦã	11
I (1sg)	Middle_Persian	an	12
you (2sg)	Armenian	du	13
you (2sg)	Greek_Anc	sý	14
you (2sg)	Latin	tuː	15
you (2sg)	Old_French	ty	16
you (2sg)	Old_Norse	θuː	17
you (2sg)	Old_High_German	duː	18
you (2sg)	Old_English	θuː	19
you (2sg)	Old_Irish	tu:	20
you (2sg)	Old_Church_Slavonic	tɯ	21
you (2sg)	Sanskrit	t̪ʋɐm	22
you (2sg)	Pali	t̪ʋã	23
you (2sg)	Middle_Persian	to:	24
he (3sg)	Armenian	nɑ	25
he (3sg)	Greek_Anc	autós	26
he (3sg)	Latin	is	27
he (3sg)	Old_French	il	28
he (3sg)	Old_Norse	hanː	29
he (3sg)	Old_High_German	er	30
he (3sg)	Old_English	heː	31
he (3sg)	Old_Irish	e:	32
he (3sg)	Old_Church_Slavonic	ɔnʊ̆	33
he (3sg)	Sanskrit	sɐ	34
he (3sg)	Pali	so	35
he (3sg)	Middle_Persian	o:j	36
we (1pl)	Armenian	mɛkʰ	37
we (1pl)	Greek_Anc	hɛːmeːs	38
we (1pl)	Latin	noːs	39
we (1pl)	Old_French	nus	40
we (1pl)	Old_Norse	veːr	41
we (1pl)	Old_High_German	wiːr	42
we (1pl)	Old_English	weː	43
we (1pl)	Old_Irish	sʹnʹi:	44
we (1pl)	Old_Church_Slavonic	mɯ	45
we (1pl)	Sanskrit	ʋɐjɐm	46
we (1pl)	Pali	ɐmɦe	47
we (1pl)	Middle_Persian	amɑ:h	48
you (2pl)	Armenian	dukʰ	49
you (2pl)	Greek_Anc	hyːmeːs	50
you (2pl)	Latin	woːs	51
you (2pl)	Old_French	vus	52
you (2pl)	Old_Norse	θeːr	53
you (2pl)	Old_High_German	iːr	54
you (2pl)	Old_English	jeː	55
you (2pl)	Old_Irish	sʹi:β	56
you (2pl)	Old_Church_Slavonic	vɯ	57
you (2pl)	Sanskrit	juːjɐm	58
you (2pl)	Pali	t̪umɦe	59
you (2pl)	Middle_Persian	aʃmɑ:h	60
they (3pl)	Armenian	nəˈɾɑŋkʰ	61
they (3pl)	Greek_Anc	autǒi	62
they (3pl)	Latin	eiː	63
they (3pl)	Old_French	il	64
they (3pl)	Old_Norse	θɛir	65
they (3pl)	Old_High_German	siː	66
they (3pl)	Old_English	hiːy̯	67
they (3pl)	Old_Irish	e:	68
they (3pl)	Old_Church_Slavonic	ɔni	69
they (3pl)	Sanskrit	t̪e	70
they (3pl)	Pali	t̪e	71
they (3pl)	Middle_Persian	awe:ʃɑ:n	72
this	Armenian	ɑjs	73
this	Greek_Anc	hóde	74
this	Latin	hik	75
this	Old_French	t͡sist	76
this	Old_Norse	ˈθesːi	77
this	Old_High_German	deseːr	78
this	Old_English	θis	79
this	Old_Irish	sə	80
this	Old_Church_Slavonic	sɪ̆	81
this	Sanskrit	id̪ɐm	82
this	Pali	id̪ã	83
this	Middle_Persian	e:n	84
that	Armenian	ɑjn	85
that	Greek_Anc	ekêːnos	86
that	Latin	ˈilːe	87
that	Old_French	t͡sist	88
that	Old_Norse	θat	89
that	Old_High_German	jeneːr	90
that	Old_English	θæt	91
that	Old_Irish	sʹinʹ	92
that	Old_Church_Slavonic	tʊ̆	93
that	Sanskrit	ɐd̪ɐs	94
that	Pali	t̪ɐd̪	95
that	Middle_Persian	ɑ:n	96
here	Armenian	ɑjsˈtɛʁ	97
here	Greek_Anc	éntʰa	98
here	Latin	hiːk	99
here	Old_French	t͡si	100
here	Old_Norse	heːr	101
here	Old_High_German	hiːr	102
here	Old_English	heːr	103
here	Old_Irish	sund	104
here	Old_Church_Slavonic	sɪ̆dɛ	105
here	Sanskrit	ɐt̪ɾɐ	106
here	Pali	id̪ʱɐ	107
here	Middle_Persian	e:daɾ	108
there	Armenian	ɑjnˈtɛʁ	109
there	Greek_Anc	ekêː	110
there	Latin	ˈibiː	111
there	Old_French	la	112
there	Old_Norse	θar	113
there	Old_High_German	daːr	114
there	Old_English	θæːr	115
there	Old_Irish	tal	116
there	Old_Church_Slavonic	tu	117
there	Sanskrit	t̪ɐt̪ɾɐ	118
