DOCULECT	iso_code	CONCEPT	global_id	local_id	ASJP	cogid	notes	IPA	ID
BURMESE	mya	I	1209	1	kyw$antau	1		kʲʷantau	1
ZAIWA	atb	I	1209	1	No	2		ŋo	2
AKHA	ahk	I	1209	1	Na	2		ŋa	3
BIYUE	byo	I	1209	1	Na	2		ŋa	4
MPI	mpz	I	1209	1	No	2		ŋo	5
BISU	bzi	I	1209	1	ga	2		ɡa	6
JINO	jiu	I	1209	1	No	2		ŋo	7
LAHU	lhu	I	1209	1	Na	2		ŋa	8
XIDE	iii	I	1209	1	Na	2		ŋa	9
DAFANG	yig	I	1209	1	No	2		ŋo	10
NANJIANG	ywt	I	1209	1	No	2		ŋo	11
LISU	lis	I	1209	1	Nua	2		ŋua	12
NUSU	nuf	I	1209	1	Na	2		ŋa	13
ACHANG	acn	I	1209	1	No	2		ŋo	14
NAXI	nbf	I	1209	1	N3	2		ŋə	15
BURMESE	mya	come	1446	66	la	1		la	16
ZAIWA	atb	come	1446	66	le	1		le	17
AKHA	ahk	come	1446	66	la7	1		laʔ	18
BIYUE	byo	come	1446	66	la	1	also: l3	la	19
MPI	mpz	come	1446	66	lo	1	also: l3	lo	20
BISU	bzi	come	1446	66	la	1	also: l3	la	21
JINO	jiu	come	1446	66	lo	1		lo	22
LAHU	lhu	come	1446	66	la	1		la	23
XIDE	iii	come	1446	66	la	1		la	24
DAFANG	yig	come	1446	66	lo	1	also: li	lo	25
NANJIANG	ywt	come	1446	66	la	1		la	26
LISU	lis	come	1446	66	la	1		la	27
NUSU	nuf	come	1446	66	la	1		la	28
ACHANG	acn	come	1446	66	Z3	2		ʒə	29
NAXI	nbf	come	1446	66	l3	2	also: ch~3	lə	30
BURMESE	mya	water	948	75	riy	1		rij	31
ZAIWA	atb	water	948	75	iCh~o	1		it͡ʃʰo	32
AKHA	ahk	water	948	75	ity~u	1		itʲu	33
BIYUE	byo	water	948	75	vch~v7	1		vt͡sʰvʔ	34
MPI	mpz	water	948	75	ch~o7	3		t͡sʰoʔ	35
BISU	bzi	water	948	75	laN	4		laŋ	36
JINO	jiu	water	948	75	e Ch~o	1		e t͡ʃʰo	37
LAHU	lhu	water	948	75	ika7	1		ikaʔ	38
XIDE	iii	water	948	75	y3	1		jə	39
DAFANG	yig	water	948	75	yi	1		ji	40
NANJIANG	ywt	water	948	75	x3	1		xə	41
LISU	lis	water	948	75	ejE	1		ed͡ʒɛ	42
NUSU	nuf	water	948	75	rigra	1		riɡra	43
ACHANG	acn	water	948	75	ti	4		ti	44
NAXI	nbf	water	948	75	dy~i	1		dʲi	45
BURMESE	mya	mountain	639	86	tauN	1		tauŋ	46
ZAIWA	atb	mountain	639	86	pum	2		pum	47
AKHA	ahk	mountain	639	86	gody~o	3		ɡodʲo	48
BIYUE	byo	mountain	639	86	yumo	4		jumo	49
MPI	mpz	mountain	639	86	opy~o	2		opʲo	50
BISU	bzi	mountain	639	86	tasE	5		tasɛ	51
JINO	jiu	mountain	639	86	x3 th~a	5		xə tʰa	52
LAHU	lhu	mountain	639	86	qh~o	3		qʰo	53
XIDE	iii	mountain	639	86	bo	2		bo	54
DAFANG	yig	mountain	639	86	b3	2		bə	55
NANJIANG	ywt	mountain	639	86	kh~uj3	3		kʰud͡ʒə	56
LISU	lis	mountain	639	86	ko	3		ko	57
NUSU	nuf	mountain	639	86	5ua	7	also: la*	ɲua	58
ACHANG	acn	mountain	639	86	pum	2		pum	59
NAXI	nbf	mountain	639	86	ko	3	also: nd~y	ko	60
BURMESE	mya	sun	1343	72	niy	1		nij	61
ZAIWA	atb	sun	1343	72	pui	2		pui	62
AKHA	ahk	sun	1343	72	naNma	1		naŋma	63
BIYUE	byo	sun	1343	72	5imo	1		ɲimo	64
MPI	mpz	sun	1343	72	5iwo	1		ɲiwo	65
BISU	bzi	sun	1343	72	muNhn3N	1		muŋhnəŋ	66
JINO	jiu	sun	1343	72	53 o	1		ɲə o	67
