DOCULECT	iso_code	CONCEPT	global_id	local_id	ASJP	cogid	notes	IPA	ID
HUASTEC	hva	I	1209	1	in	1	also: nana7	in	1
TOJOLABAL	toj	I	1209	1	ken	6	also: kena	ken	2
CHUJ	cnm	I	1209	1	in	1		in	3
JACALTEC	jai	I	1209	1	haninan	1		haninan	4
QANJOBAL_SANTA_EULALIA	kjb	I	1209	1	ayinti	2		ajinti	5
ACATECO_SAN_MIGUEL_ACATAN	knj	I	1209	1	hain	1		hain	6
IXIL_CHAJUL	ixj	I	1209	1	in	1		in	7
AGUACATEC	agu	I	1209	1	in	1		in	8
TECO_TECTITAN	ttc	I	1209	1	a7in	3		aʔin	9
MAM_NORTHERN	mam	I	1209	1	ayine	2		ajine	10
SIPAKAPENSE	qum	I	1209	1	in	1		in	11
SACAPULTECO_SACAPULAS_CENTRO	quv	I	1209	1	ra7in	3		raʔin	12
CENTRAL_QUICHE	quc	I	1209	1	in	1		in	13
SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	ckf	I	1209	1	yin	2		jin	14
TZUTUJIL_SAN_JUAN_LA_LAGUNA	tzj	I	1209	1	inin	1		inin	15
POQOMCHI_WESTERN	pob	I	1209	1	hin	4		hin	16
POCOMAM_EASTERN	poa	I	1209	1	hin	4		hin	17
USPANTEKO	usp	I	1209	1	in	1		in	18
EASTERN_KEKCHI_CAHABON	kek	I	1209	1	ha7in	3		haʔin	19
TZELTAL_BACHAJON	tzb	I	1209	1	ho7on	5		hoʔon	20
CHOL_TUMBALA	ctu	I	1209	1	ho5on	5		hoɲon	21
CHORTI	caa	I	1209	1	en	1		en	22
ITZAJ	itz	I	1209	1	ten	1		ten	23
MOPAN	mop	I	1209	1	innen	1		innen	24
MAYA_YUCATAN	yua	I	1209	1	en	1		en	25
HUASTEC	hva	thou	1213	2	it	1	also: ata7	it	26
TOJOLABAL	toj	thou	1213	2	wen	3	also: wena	wen	27
CHUJ	cnm	thou	1213	2	aC	1	also: eStik	at͡ʃ	28
JACALTEC	jai	thou	1213	2	haC	1	also: heS	hat͡ʃ	29
QANJOBAL_SANTA_EULALIA	kjb	thou	1213	2	aCti	1		at͡ʃti	30
ACATECO_SAN_MIGUEL_ACATAN	knj	thou	1213	2	haCti7	1		hat͡ʃtiʔ	31
IXIL_CHAJUL	ixj	thou	1213	2	ah	4		ah	32
AGUACATEC	agu	thou	1213	2	aS	5	also: e7u7	aʃ	33
TECO_TECTITAN	ttc	thou	1213	2	a7iC	6		aʔit͡ʃ	34
MAM_NORTHERN	mam	thou	1213	2	aya	7	also: aqye	aja	35
SIPAKAPENSE	qum	thou	1213	2	at	1		at	36
