ID	DOCULECT	CONCEPT	IPA
1	HUASTEC	I	in
2	TOJOLABAL	I	ken
3	CHUJ	I	in
4	JACALTEC	I	haninan
5	QANJOBAL_SANTA_EULALIA	I	ajinti
6	ACATECO_SAN_MIGUEL_ACATAN	I	hain
7	IXIL_CHAJUL	I	in
8	AGUACATEC	I	in
9	TECO_TECTITAN	I	aʔin
10	MAM_NORTHERN	I	ajine
11	SIPAKAPENSE	I	in
12	SACAPULTECO_SACAPULAS_CENTRO	I	raʔin
13	CENTRAL_QUICHE	I	in
14	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	I	jin
15	TZUTUJIL_SAN_JUAN_LA_LAGUNA	I	inin
16	POQOMCHI_WESTERN	I	hin
17	POCOMAM_EASTERN	I	hin
18	USPANTEKO	I	in
19	EASTERN_KEKCHI_CAHABON	I	haʔin
20	TZELTAL_BACHAJON	I	hoʔon
21	CHOL_TUMBALA	I	hoɲon
22	CHORTI	I	en
23	ITZAJ	I	ten
24	MOPAN	I	innen
25	MAYA_YUCATAN	I	en
26	HUASTEC	thou	it
27	TOJOLABAL	thou	wen
28	CHUJ	thou	at͡ʃ
29	JACALTEC	thou	hat͡ʃ
30	QANJOBAL_SANTA_EULALIA	thou	at͡ʃti
31	ACATECO_SAN_MIGUEL_ACATAN	thou	hat͡ʃtiʔ
32	IXIL_CHAJUL	thou	ah
33	AGUACATEC	thou	aʃ
34	TECO_TECTITAN	thou	aʔit͡ʃ
35	MAM_NORTHERN	thou	aja
36	SIPAKAPENSE	thou	at
37	SACAPULTECO_SACAPULAS_CENTRO	thou	raʔat
38	CENTRAL_QUICHE	thou	at
39	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	thou	rat
40	TZUTUJIL_SAN_JUAN_LA_LAGUNA	thou	atet
41	POQOMCHI_WESTERN	thou	hat
42	POCOMAM_EASTERN	thou	hat
43	USPANTEKO	thou	at
44	EASTERN_KEKCHI_CAHABON	thou	haʔat
45	ZINACANTAN_TZOTZIL	thou	vot
46	TZELTAL_BACHAJON	thou	haʔat
47	CHOL_TUMBALA	thou	hatet
48	CHONTAL_TABASCO	thou	ane
49	CHORTI	thou	et
50	ITZAJ	thou	tet͡ʃ
51	MOPAN	thou	int͡ʃet͡ʃ
52	MAYA_YUCATAN	thou	et͡ʃ
53	HUASTEC	we	wawaʔ
54	TOJOLABAL	we	keⁿtik
55	CHUJ	we	oŋ
56	JACALTEC	we	haŋoŋaŋ
57	QANJOBAL_SANTA_EULALIA	we	aonti
58	ACATECO_SAN_MIGUEL_ACATAN	we	heontiʔ
59	IXIL_CHAJUL	we	oʔ
60	AGUACATEC	we	oʔ
61	TECO_TECTITAN	we	aʔoʔ
62	MAM_NORTHERN	we	qoʔ
63	SIPAKAPENSE	we	ox
64	SACAPULTECO_SACAPULAS_CENTRO	we	raʔox
65	CENTRAL_QUICHE	we	ux
66	SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	we	rox
67	TZUTUJIL_SAN_JUAN_LA_LAGUNA	we	oxox
68	POQOMCHI_WESTERN	we	hox
69	POCOMAM_EASTERN	we	qox
70	USPANTEKO	we	ox
71	EASTERN_KEKCHI_CAHABON	we	haʔo
72	ZINACANTAN_TZOTZIL	we	votikotik
73	TZELTAL_BACHAJON	we	hoʔotik
74	CHOL_TUMBALA	we	lohon
75	CHONTAL_TABASCO	we	noʔonla
76	CHORTI	we	oŋ
77	ITZAJ	we	intoʔon
