DOCULECT	iso_code	CONCEPT	global_id	local_id	ASJP	cogid	notes	IPA	ID
NORTH_HIGHLAND_MIXE	mto	I	1209	1	3c	1		ət͡s	1
SOUTH_HIGHLAND_MIXE	mxp	I	1209	1	3c	1		ət͡s	2
LOWLAND_MIXE	mco	I	1209	1	3C	1		ət͡ʃ	3
SAYULA_POPOLUCA	pos	I	1209	1	3c	1		ət͡s	4
OLUTA_POPOLUCA	plo	I	1209	1	3s	1		əs	5
TEXISTEPEC_ZOQUE	poq	I	1209	1	3c37	1		ət͡səʔ	6
SOTEAPAN_ZOQUE	poi	I	1209	1	3C	1		ət͡ʃ	7
MARIA_CHIMALAPA	zoh	I	1209	1	3cci7	1		ət͡st͡siʔ	8
MIGUEL_CHIMALAPA	zoh	I	1209	1	d3S	2		dəʃ	9
CHIAPAS_ZOQUE	zoc	I	1209	1	3h	1		əh	10
NORTH_HIGHLAND_MIXE	mto	thou	1215	2	mic	1		mit͡s	11
SOUTH_HIGHLAND_MIXE	mxp	thou	1215	2	mec	1		met͡s	12
LOWLAND_MIXE	mco	thou	1215	2	miC	1		mit͡ʃ	13
SAYULA_POPOLUCA	pos	thou	1215	2	mi	1	also: miC	mi	14
OLUTA_POPOLUCA	plo	thou	1215	2	mis	1		mis	15
TEXISTEPEC_ZOQUE	poq	thou	1215	2	biC	1		bit͡ʃ	16
SOTEAPAN_ZOQUE	poi	thou	1215	2	miC	1		mit͡ʃ	17
MARIA_CHIMALAPA	zoh	thou	1215	2	micci7	1		mit͡st͡siʔ	18
MIGUEL_CHIMALAPA	zoh	thou	1215	2	miS	1		miʃ	19
CHIAPAS_ZOQUE	zoc	thou	1215	2	mih	1		mih	20
NORTH_HIGHLAND_MIXE	mto	we	1212	3	3c	1		ət͡s	21
SOUTH_HIGHLAND_MIXE	mxp	we	1212	3	3c	1		ət͡s	22
LOWLAND_MIXE	mco	we	1212	3	3C aht	1		ət͡ʃ_aht	23
SAYULA_POPOLUCA	pos	we	1212	3	3hcat	1		əht͡sat	24
OLUTA_POPOLUCA	plo	we	1212	3	3catek	1		ət͡satek	25
TEXISTEPEC_ZOQUE	poq	we	1212	3	3c ta7	1		ət͡s_taʔ	26
MARIA_CHIMALAPA	zoh	we	1212	3	newiny~nen	2		newiⁿʲnen	27
MIGUEL_CHIMALAPA	zoh	we	1212	3	neywin	2		nejwin	28
CHIAPAS_ZOQUE	zoc	we	1212	3	t3h	3		təh	29
NORTH_HIGHLAND_MIXE	mto	this	1214	4	y37e	1		jəʔe	30
SOUTH_HIGHLAND_MIXE	mxp	this	1214	4	ya7at	1		jaʔat	31
LOWLAND_MIXE	mco	this	1214	4	hada7	2		hadaʔ	32
SAYULA_POPOLUCA	pos	this	1214	4	ay3h	1		ajəh	33
OLUTA_POPOLUCA	plo	this	1214	4	he7	3		heʔ	34
TEXISTEPEC_ZOQUE	poq	this	1214	4	y373h37	1		jəʔəhəʔ	35
SOTEAPAN_ZOQUE	poi	this	1214	4	he7ep3k	4		heʔepək	36
MARIA_CHIMALAPA	zoh	this	1214	4	y37 p37	1		jəʔ_pəʔ	37
MIGUEL_CHIMALAPA	zoh	this	1214	4	y37	1		jəʔ	38
CHIAPAS_ZOQUE	zoc	this	1214	4	y37 w3	1		jəʔ_wə	39
NORTH_HIGHLAND_MIXE	mto	that	78	5	Si7	1		ʃiʔ	40
SOUTH_HIGHLAND_MIXE	mxp	that	78	5	hE7E	6		hɛʔɛ	41
LOWLAND_MIXE	mco	that	78	5	heh3mb3	2		hehəmbə	42
SAYULA_POPOLUCA	pos	that	78	5	yay3n	3		jajən	43
OLUTA_POPOLUCA	plo	that	78	5	hamah	2		hamah	44
SOTEAPAN_ZOQUE	poi	that	78	5	heam	2		heam	45
MIGUEL_CHIMALAPA	zoh	that	78	5	gad3	5		ɡadə	46
CHIAPAS_ZOQUE	zoc	that	78	5	37	4		əʔ	47
NORTH_HIGHLAND_MIXE	mto	who	1235	6	p3n	1		pən	48
SOUTH_HIGHLAND_MIXE	mxp	who	1235	6	p3n	1		pən	49
LOWLAND_MIXE	mco	who	1235	6	p3n	1		pən	50
SAYULA_POPOLUCA	pos	who	1235	6	p3n	1		pən	51
OLUTA_POPOLUCA	plo	who	1235	6	p3n	1		pən	52
SOTEAPAN_ZOQUE	poi	who	1235	6	iapa7ap	4		iapaʔap	53
MARIA_CHIMALAPA	zoh	who	1235	6	iw3	2		iwə	54
MIGUEL_CHIMALAPA	zoh	who	1235	6	iw3	2		iwə	55
CHIAPAS_ZOQUE	zoc	who	1235	6	i w3	2		i_wə	56
NORTH_HIGHLAND_MIXE	mto	what	1236	7	ti	1		ti	57
SOUTH_HIGHLAND_MIXE	mxp	what	1236	7	ti	1		ti	58
LOWLAND_MIXE	mco	what	1236	7	ti	1		ti	59
SAYULA_POPOLUCA	pos	what	1236	7	ti	1		ti	60
OLUTA_POPOLUCA	plo	what	1236	7	ti	1		ti	61
TEXISTEPEC_ZOQUE	poq	what	1236	7	Ce7	1		t͡ʃeʔ	62
SOTEAPAN_ZOQUE	poi	what	1236	7	ty~i	1		tʲi	63
MARIA_CHIMALAPA	zoh	what	1236	7	ti	1		ti	64
MIGUEL_CHIMALAPA	zoh	what	1236	7	ti	1		ti	65
CHIAPAS_ZOQUE	zoc	what	1236	7	tiy3	1		tijə	66
NORTH_HIGHLAND_MIXE	mto	not	1269	8	ka7a	1		kaʔa	67
SOUTH_HIGHLAND_MIXE	mxp	not	1269	8	kat	1		kat	68
LOWLAND_MIXE	mco	not	1269	8	ka7	1		kaʔ	69
SAYULA_POPOLUCA	pos	not	1269	8	kah	1		kah	70
OLUTA_POPOLUCA	plo	not	1269	8	373	1		əʔə	71
TEXISTEPEC_ZOQUE	poq	not	1269	8	e5C	2		eɲt͡ʃ	72
SOTEAPAN_ZOQUE	poi	not	1269	8	dy~a	2		dʲa	73
MARIA_CHIMALAPA	zoh	not	1269	8	wat kaha	2		wat_kaha	74
MIGUEL_CHIMALAPA	zoh	not	1269	8	ya	2		ja	75
CHIAPAS_ZOQUE	zoc	not	1269	8	hane	2		hane	76
NORTH_HIGHLAND_MIXE	mto	all	98	9	n3hum	1		nəhum	77
SOUTH_HIGHLAND_MIXE	mxp	all	98	9	tuk3y	2		tukəj	78
LOWLAND_MIXE	mco	all	98	9	tu7uk ok3y	2		tuʔuk_okəj	79
SAYULA_POPOLUCA	pos	all	98	9	nu p3h3n	3		nu_pəhən	80
OLUTA_POPOLUCA	plo	all	98	9	nitik	4		nitik	81
TEXISTEPEC_ZOQUE	poq	all	98	9	bumbe	5		bumbe	82
SOTEAPAN_ZOQUE	poi	all	98	9	ikum3h	6		ikuməh	83
