ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	IPA	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
1	Bahnar-Golar	bdq	I, me		ʔiɲ	ʔ i ɲ	7 i H	H V N	H I N	1	1
2	Bahnar-Kontum	bdq	I, me		ʔiɲ	ʔ i ɲ	7 i H	H V N	H I N	1	1
3	Bahnar-Pleiku	bdq	I, me		ʔiɲ	ʔ i ɲ	7 i H	H V N	H I N	1	1
4	Bru-Talan	oog	I, me		kɨː	k ɨː	k I	K V	K I	10	2
5	Bru-Ubon	bru	I, me		kɤw	k ɤ w	k o w	K V W	K E W	10	2
6	Khmer-Surin	kxm	I, me		ʔaɲ	ʔ a ɲ	7 a H	H V N	H A N	1	1
7	Khmer-Standard	khm	I, me		kʰɲum	kʰ ɲ u m	k H u m	K N V M	K N Y M	12	4
8	Mon	mnw	I, me		ʔoa	ʔ oa	7 o	H V	H U	14	6
9	Bahnar-Golar	bdq	alcohol/liquor		hədroː	h ə d r oː	h I d r o	H V T R V	H E T R U	2	18
10	Bahnar-Kontum	bdq	alcohol/liquor		siːk	s iː k	s i k	S V K	S I K	3	26
11	Bahnar-Pleiku	bdq	alcohol/liquor		siːk	s iː k	s i k	S V K	S I K	3	26
12	Bru-Ubon	bru	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35
13	Khmer-Surin	kxm	alcohol/liquor		sraː	s r aː	s r a	S R V	S R A	14	15
14	Khmer-Standard	khm	alcohol/liquor		sraː	s r aː	s r a	S R V	S R A	14	15
15	Mon	mnw	alcohol/liquor		ʔarèak	ʔ a r èa k	7 a r e k	H V R V K	H A R E K	21	20
16	Vietnamese	vie	alcohol/liquor		rượu	r u o u	r u o u	R V V V	R Y U Y	39	31
17	Bahnar-Golar	bdq	alive/live		hədrih	h ə d r i h	h I d r i h	H V T R V H	H E T R I H	2	42
18	Bahnar-Kontum	bdq	alive/live		ʔadrih	ʔ a d r i h	7 a d r i h	H V T R V H	H A T R I H	2	42
19	Bahnar-Pleiku	bdq	alive/live		ʔadrih	ʔ a d r i h	7 a d r i h	H V T R V H	H A T R I H	2	42
20	Bru-Talan	oog	alive/live		moŋʔ	m o ŋ ʔ	m o N 7	M V N H	M U N H	7	54
