DOCULECT	iso_code	CONCEPT	global_id	local_id	ASJP	cogid	notes	IPA	ID
JEH	jeh	I	1209	1	aut	1		aut	1
BAHNAR	bdq	I	1209	1	i5	2		iɲ	2
CHRAU	crw	I	1209	1	a5	2	also: i5	aɲ	3
VIETNAMESE	vie	I	1209	1	toi	3		toi	4
MON	mnw	I	1209	1	ay	2		aj	5
NYAKUR	cbn	I	1209	1	e5	2		eɲ	6
KHMER	khm	I	1209	1	kh~3nom	4		kʰənom	7
SEMAI	sea	I	1209	1	E5	2		ɛɲ	8
WA	wbm	I	1209	1	37	1		əʔ	9
KSINMUL	puo	I	1209	1	a5	2		aɲ	10
MUNDARI	unr	I	1209	1	ain	2		ain	11
JEH	jeh	thou	1213	2	mi	1		mi	12
CHRAU	crw	thou	1213	2	mai	1	also: ai	mai	13
VIETNAMESE	vie	thou	1213	2	may	1	also: ti	maj	14
RUC	scb	thou	1213	2	mi	1		mi	15
MON	mnw	thou	1213	2	beh	3		beh	16
NYAKUR	cbn	thou	1213	2	ph~eh	3		pʰeh	17
KHMER	khm	thou	1213	2	EN	4		ɛŋ	18
KUI_THAILAND	kdt	thou	1213	2	muaN	1		muaŋ	19
SEMAI	sea	thou	1213	2	hE7	2		hɛʔ	20
WA	wbm	thou	1213	2	mai7	1		maiʔ	21
DEANG	pce	thou	1213	2	moi	1		moi	22
KHMU	kjg	thou	1213	2	me	1		me	23
KSINMUL	puo	thou	1213	2	mih	1		mih	24
KHASI	kha	thou	1213	2	me	1		me	25
MUNDARI	unr	thou	1213	2	am	1		am	26
JEH	jeh	we	1212	3	yuan	1		juan	27
BAHNAR	bdq	we	1212	3	5on	1		ɲon	28
CHRAU	crw	we	1212	3	von	10	also: kh~ana5	von	29
VIETNAMESE	vie	we	1212	3	ta	2	also: mi5	ta	30
RUC	scb	we	1212	3	Cupa	3		t͡ʃupa	31
MON	mnw	we	1212	3	puiy	4		puij	32
NYAKUR	cbn	we	1212	3	pEy	4		pɛj	33
KHMER	khm	we	1212	3	ya3N	5		jaəŋ	34
KUI_THAILAND	kdt	we	1212	3	mh~ai	6		mʰai	35
SEMAI	sea	we	1212	3	Zi7	7		ʒiʔ	36
WA	wbm	we	1212	3	yi7	7		jiʔ	37
DEANG	pce	we	1212	3	y3i	7		jəi	38
KSINMUL	puo	we	1212	3	zi	7		zi	39
MUNDARI	unr	we	1212	3	ale	9		ale	40
JEH	jeh	this	1214	4	mou	1		mou	41
BAHNAR	bdq	this	1214	4	nou	1		nou	42
RUC	scb	this	1214	4	ni	3		ni	43
MON	mnw	this	1214	4	na7	4		naʔ	44
NYAKUR	cbn	this	1214	4	o7	5		oʔ	45
KHMER	khm	this	1214	4	n3h	3		nəh	46
SEMAI	sea	this	1214	4	adEh	3		adɛh	47
WA	wbm	this	1214	4	in	7		in	48
KHMU	kjg	this	1214	4	k3 ki	8		kə ki	49
KHASI	kha	this	1214	4	ne	3		ne	50
MUNDARI	unr	this	1214	4	ni i7	3		ni iʔ	51
BAHNAR	bdq	that	78	5	ni	1		ni	52
RUC	scb	that	78	5	he	3		he	53
MON	mnw	that	78	5	te7	4		teʔ	54
NYAKUR	cbn	that	78	5	te7	4		teʔ	55
KHMER	khm	that	78	5	noh	5		noh	56
KUI_THAILAND	kdt	that	78	5	k3i	2		kəi	57
SEMAI	sea	that	78	5	aZeh	6		aʒeh	58
WA	wbm	that	78	5	an	7		an	59
DEANG	pce	that	78	5	d3	8		də	60
KHMU	kjg	that	78	5	k3 ni	1		kə ni	61
KSINMUL	puo	that	78	5	p37ow	7		pəʔow	62
KHASI	kha	that	78	5	ba	9		ba	63
MUNDARI	unr	that	78	5	han i7	10		han iʔ	64
JEH	jeh	who	1235	6	bau	1		bau	65
BAHNAR	bdq	who	1235	6	bu	1		bu	66
RUC	scb	who	1235	6	ay	2		aj	67
NYAKUR	cbn	who	1235	6	35ah	3		əɲah	68
KHMER	khm	who	1235	6	kh~3nao	4		kʰənao	69
KUI_THAILAND	kdt	who	1235	6	naw	4		naw	70
SEMAI	sea	who	1235	6	bo7	1		boʔ	71
WA	wbm	who	1235	6	mo7	6		moʔ	72
DEANG	pce	who	1235	6	se	7		se	73
KHMU	kjg	who	1235	6	m3	6		mə	74
KSINMUL	puo	who	1235	6	noh	3		noh	75
MUNDARI	unr	who	1235	6	okoy	8		okoj	76
JEH	jeh	what	1236	7	5ai	1		ɲai	77
BAHNAR	bdq	what	1236	7	ki3	2		kiə	78
CHRAU	crw	what	1236	7	paC n7hy~a	3	also: mo7	pat͡ʃ nʔʰʲa	79
VIETNAMESE	vie	what	1236	7	kai gi	2		kai ɡi	80
RUC	scb	what	1236	7	Cam3	4		t͡ʃamə	81
MON	mnw	what	1236	7	nu	5		nu	82
NYAKUR	cbn	what	1236	7	mo7	4		moʔ	83
KHMER	khm	what	1236	7	evi	6		evi	84
KUI_THAILAND	kdt	what	1236	7	na	5		na	85
SEMAI	sea	what	1236	7	mah	4		mah	86
WA	wbm	what	1236	7	pati7	8		patiʔ	87
DEANG	pce	what	1236	7	se muh	4		se muh	88
KHMU	kjg	what	1236	7	m3h	4		məh	89
KSINMUL	puo	what	1236	7	h3lmoh	4		həlmoh	90
MUNDARI	unr	what	1236	7	Ca na	10		t͡ʃa na	91
BAHNAR	bdq	not	1269	8	3h	1		əh	92
CHRAU	crw	not	1269	8	sun	1	also: daN	sun	93
VIETNAMESE	vie	not	1269	8	kx~oN	2		kxoŋ	94
RUC	scb	not	1269	8	vaN	3		vaŋ	95
MON	mnw	not	1269	8	ha	4	also: hw~a	ha	96
NYAKUR	cbn	not	1269	8	ku	10		ku	97
KHMER	khm	not	1269	8	min	5		min	98
SEMAI	sea	not	1269	8	pE7	6		pɛʔ	99
WA	wbm	not	1269	8	aN	7		aŋ	100
KHASI	kha	not	1269	8	em	8		em	101
MUNDARI	unr	not	1269	8	ka	9		ka	102
MON	mnw	all	98	9	pa7uit	3		paʔuit	103
KHMER	khm	all	98	9	tamN	1		tamŋ	104
KUI_THAILAND	kdt	all	98	9	ai th~e	4		ai tʰe	105
SEMAI	sea	all	98	9	diC	5		dit͡ʃ	106
DEANG	pce	all	98	9	dvi7	6		dviʔ	107
KHMU	kjg	all	98	9	ku	7		ku	108
KHASI	kha	all	98	9	baroh	9		baroh	109
JEH	jeh	many	1198	10	k3dram	1		kədram	110
BAHNAR	bdq	many	1198	10	th~3r	2		tʰər	111
CHRAU	crw	many	1198	10	go7	3		ɡoʔ	112
VIETNAMESE	vie	many	1198	10	5ieu	4		ɲieu	113
RUC	scb	many	1198	10	5iw	4		ɲiw	114
MON	mnw	many	1198	10	gluiN	5		ɡluiŋ	115
NYAKUR	cbn	many	1198	10	kh~l3N	5		kʰləŋ	116
KHMER	khm	many	1198	10	Cr~a3n	6		t͡ʃraən	117
KUI_THAILAND	kdt	many	1198	10	dal	7		dal	118
SEMAI	sea	many	1198	10	Z7~oy	8		ʒʔoj	119
WA	wbm	many	1198	10	hun	9		hun	120
DEANG	pce	many	1198	10	mh~blam	1		mʰblam	121
KHMU	kjg	many	1198	10	k3	10		kə	122
KSINMUL	puo	many	1198	10	gay	10		ɡaj	123
KHASI	kha	many	1198	10	bun	11		bun	124
JEH	jeh	one	1493	11	mui	1		mui	125
