ID	DOCULECT	CONCEPT	IPA
1	JEH	I	aut
2	BAHNAR	I	iɲ
3	CHRAU	I	aɲ
4	VIETNAMESE	I	toi
5	MON	I	aj
6	NYAKUR	I	eɲ
7	KHMER	I	kʰənom
8	SEMAI	I	ɛɲ
9	WA	I	əʔ
10	KSINMUL	I	aɲ
11	MUNDARI	I	ain
12	JEH	thou	mi
13	CHRAU	thou	mai
14	VIETNAMESE	thou	maj
15	RUC	thou	mi
16	MON	thou	beh
17	NYAKUR	thou	pʰeh
18	KHMER	thou	ɛŋ
19	KUI_THAILAND	thou	muaŋ
20	SEMAI	thou	hɛʔ
21	WA	thou	maiʔ
22	DEANG	thou	moi
23	KHMU	thou	me
24	KSINMUL	thou	mih
25	KHASI	thou	me
26	MUNDARI	thou	am
27	JEH	we	juan
28	BAHNAR	we	ɲon
29	CHRAU	we	von
30	VIETNAMESE	we	ta
31	RUC	we	t͡ʃupa
32	MON	we	puij
33	NYAKUR	we	pɛj
34	KHMER	we	jaəŋ
35	KUI_THAILAND	we	mʰai
36	SEMAI	we	ʒiʔ
37	WA	we	jiʔ
38	DEANG	we	jəi
39	KSINMUL	we	zi
40	MUNDARI	we	ale
41	JEH	this	mou
42	BAHNAR	this	nou
43	RUC	this	ni
44	MON	this	naʔ
45	NYAKUR	this	oʔ
46	KHMER	this	nəh
47	SEMAI	this	adɛh
48	WA	this	in
49	KHMU	this	kə ki
50	KHASI	this	ne
51	MUNDARI	this	ni iʔ
52	BAHNAR	that	ni
53	RUC	that	he
54	MON	that	teʔ
55	NYAKUR	that	teʔ
56	KHMER	that	noh
57	KUI_THAILAND	that	kəi
58	SEMAI	that	aʒeh
59	WA	that	an
60	DEANG	that	də
61	KHMU	that	kə ni
62	KSINMUL	that	pəʔow
63	KHASI	that	ba
64	MUNDARI	that	han iʔ
65	JEH	who	bau
66	BAHNAR	who	bu
67	RUC	who	aj
68	NYAKUR	who	əɲah
69	KHMER	who	kʰənao
70	KUI_THAILAND	who	naw
71	SEMAI	who	boʔ
72	WA	who	moʔ
73	DEANG	who	se
74	KHMU	who	mə
75	KSINMUL	who	noh
76	MUNDARI	who	okoj
77	JEH	what	ɲai
78	BAHNAR	what	kiə
79	CHRAU	what	pat͡ʃ nʔʰʲa
80	VIETNAMESE	what	kai ɡi
81	RUC	what	t͡ʃamə
82	MON	what	nu
83	NYAKUR	what	moʔ
84	KHMER	what	evi
85	KUI_THAILAND	what	na
86	SEMAI	what	mah
87	WA	what	patiʔ
88	DEANG	what	se muh
89	KHMU	what	məh
90	KSINMUL	what	həlmoh
