ID	DOCULECT	CONCEPT	IPA
1	Bahnar-Golar	I, me	ʔiɲ
2	Bahnar-Kontum	I, me	ʔiɲ
3	Bahnar-Pleiku	I, me	ʔiɲ
4	Bru-Talan	I, me	kɨː
5	Bru-Ubon	I, me	kɤw
6	Khmer-Surin	I, me	ʔaɲ
7	Khmer-Standard	I, me	kʰɲum
8	Mon	I, me	ʔoa
9	Bahnar-Golar	alcohol/liquor	hədroː
10	Bahnar-Kontum	alcohol/liquor	siːk
11	Bahnar-Pleiku	alcohol/liquor	siːk
12	Bru-Ubon	alcohol/liquor	blɔŋ
13	Khmer-Surin	alcohol/liquor	sraː
14	Khmer-Standard	alcohol/liquor	sraː
15	Mon	alcohol/liquor	ʔarèak
16	Vietnamese	alcohol/liquor	rượu
17	Bahnar-Golar	alive/live	hədrih
18	Bahnar-Kontum	alive/live	ʔadrih
19	Bahnar-Pleiku	alive/live	ʔadrih
20	Bru-Talan	alive/live	moŋʔ
21	Bru-Ubon	alive/live	nɔ̤ŋʔaːmɔ̤ŋ
22	Khmer-Surin	alive/live	ruah
23	Khmer-Standard	alive/live	rʊəh
24	Mon	alive/live	càŋ
25	Vietnamese	alive/live	sống
26	Bahnar-Golar	ant	hmoːc
27	Bahnar-Kontum	ant	hmoc
28	Bahnar-Pleiku	ant	hmoːc
29	Bru-Talan	ant	mic
30	Bru-Ubon	ant	səmuːc
31	Khmer-Surin	ant	smɔːc
32	Khmer-Standard	ant	srɑmaoc
33	Mon	ant	həmo̱t
34	Vietnamese	ant	kiến
35	Bahnar-Golar	arrow	mrɔm
36	Bahnar-Kontum	arrow	mrɔm
37	Bahnar-Pleiku	arrow	ɓrəm
38	Bru-Talan	arrow	craˀah
39	Bru-Ubon	arrow	kam
40	Khmer-Surin	arrow	prʊːɲ
41	Khmer-Standard	arrow	pruəɲ
42	Mon	arrow	lə̀
43	Vietnamese	arrow	căm
44	Bahnar-Golar	ashes	tənuh
45	Bahnar-Kontum	ashes	tənuh
46	Bahnar-Pleiku	ashes	tənuhʔuɲ
47	Bru-Ubon	ashes	bɔh
48	Khmer-Surin	ashes	pʰɛh
49	Khmer-Standard	ashes	pʰəːh
50	Mon	ashes	pətɑɲ
51	Vietnamese	ashes	mun
52	Bahnar-Golar	bamboo	pəlɛː
53	Bahnar-Kontum	bamboo	pəlɛː
54	Bahnar-Pleiku	bamboo	pəlɛː
55	Bru-Talan	bamboo	lɔˀɔŋkoʔ
56	Bru-Ubon	bamboo	ʔaːluaŋsərɔŋ
57	Khmer-Surin	bamboo	rsɛj
58	Khmer-Standard	bamboo	rəsɤj
59	Mon	bamboo	tùn
60	Vietnamese	bamboo	pheo
61	Bahnar-Golar	banana	priːt
62	Bahnar-Kontum	banana	priːt
63	Bahnar-Pleiku	banana	priːt
64	Bru-Talan	banana	prinʔ
65	Bru-Ubon	banana	priat
66	Khmer-Surin	banana	ʨeːɁ
67	Khmer-Standard	banana	ceiɁ
68	Mon	banana	pràt
69	Vietnamese	banana	chuối
70	Bahnar-Golar	beans/peas	təh
71	Bahnar-Kontum	beans/peas	təh
72	Bahnar-Pleiku	beans/peas	təh
73	Bru-Talan	beans/peas	tɔˀɔŋ
74	Bru-Ubon	beans/peas	sətɔːŋ
75	Khmer-Surin	beans/peas	snɛːɁ
76	Khmer-Standard	beans/peas	sɑndaek
77	Mon	beans/peas	boa
78	Vietnamese	beans/peas	đậu
79	Bahnar-Golar	bear	ɟəkøu
80	Bahnar-Kontum	bear	həgøu
81	Bahnar-Pleiku	bear	cəgəw
82	Bru-Talan	bear	haŋkaːw
83	Bru-Ubon	bear	səkaw
84	Khmer-Standard	bear	kʰmùm
85	Mon	bear	mɛm
86	Vietnamese	bear	gấu
87	Bahnar-Golar	bee/honeybee	suːt
88	Bahnar-Kontum	bee/honeybee	suːt
89	Bahnar-Pleiku	bee/honeybee	suːt
90	Bru-Talan	bee/honeybee	kihial
91	Bru-Ubon	bee/honeybee	kəheal
92	Khmer-Surin	bee/honeybee	kʰmum
93	Khmer-Standard	bee/honeybee	kmum
94	Mon	bee/honeybee	sai
95	Vietnamese	bee/honeybee	ong
96	Bahnar-Golar	belly/stomach	klaːk
97	Bahnar-Kontum	belly/stomach	klaːk
98	Bahnar-Pleiku	belly/stomach	klaːk
99	Bru-Talan	belly/stomach	pəːm
100	Bru-Ubon	belly/stomach	pṳŋ
101	Khmer-Surin	belly/stomach	puah
102	Khmer-Standard	belly/stomach	puŋ
103	Mon	belly/stomach	pɜ̀ŋ
104	Vietnamese	belly/stomach	bụng
105	Bahnar-Golar	bird	sɛːm
106	Bahnar-Kontum	bird	sɛːm
107	Bahnar-Pleiku	bird	sɛːm
108	Bru-Talan	bird	kaˀjleːmʔ
109	Bru-Ubon	bird	cɤm
110	Mon	bird	hacem
111	Vietnamese	bird	chim
112	Bahnar-Golar	bitter	taŋ
113	Bahnar-Kontum	bitter	taŋ
114	Bahnar-Pleiku	bitter	taŋ
115	Bru-Talan	bitter	taŋʔ
116	Bru-Ubon	bitter	ntaŋ
117	Khmer-Surin	bitter	lwiːɲ
118	Khmer-Standard	bitter	lwiːŋ
119	Mon	bitter	kataŋ
120	Vietnamese	bitter	đắng
121	Bahnar-Golar	black	gam
122	Bahnar-Kontum	black	gam
123	Bahnar-Pleiku	black	gam
124	Bru-Talan	black	koːm
125	Bru-Ubon	black	kuːm
126	Khmer-Surin	black	kʰmaw
127	Khmer-Standard	black	kmaw
128	Mon	black	kacɑk
129	Vietnamese	black	đen
130	Bahnar-Golar	blood	pʰaːm
131	Bahnar-Kontum	blood	pʰaːm
132	Bahnar-Pleiku	blood	pʰaːm
133	Bru-Talan	blood	haˀam
134	Bru-Ubon	blood	ʔaːhaːm
135	Khmer-Surin	blood	ʨhiːam
136	Khmer-Standard	blood	cʰiem
137	Mon	blood	cʰim
138	Vietnamese	blood	máu
139	Bahnar-Pleiku	boat	pluŋ
140	Bru-Talan	boat	roŋ
141	Bru-Ubon	boat	tṳǝʔ
142	Khmer-Surin	boat	tuːɁ
143	Khmer-Standard	boat	tùːk
144	Mon	boat	klə̀ŋ
145	Vietnamese	boat	nốc
146	Bahnar-Golar	body hair/feathers	sɔk
147	Bahnar-Kontum	body hair/feathers	sɔk
148	Bahnar-Pleiku	body hair/feathers	sɔk
149	Bru-Talan	body hair/feathers	cʰɔkmɔˀɔr
150	Bru-Ubon	body hair/feathers	soʔ
151	Khmer-Surin	body hair/feathers	mmɪːh
152	Khmer-Standard	body hair/feathers	saʔrəjraːkaː
153	Mon	body hair/feathers	sok
154	Vietnamese	body hair/feathers	tóc
155	Bahnar-Golar	bone	kətiːŋ
156	Bahnar-Kontum	bone	kətiːŋ
157	Bahnar-Pleiku	bone	kətiːŋ
158	Bru-Talan	bone	haˀaŋ
159	Bru-Ubon	bone	ŋhaːŋ
