CONCEPT	DOCULECT	IPA	ID
I (1sg)	Georgian	me	1
I (1sg)	Armenian	jɛs	2
I (1sg)	Old_Kannada	aːn	3
I (1sg)	Old_Telugu	eːn	4
I (1sg)	Old_Malayalam	eːn	5
I (1sg)	Old_Tamil	jaːn	6
I (1sg)	Greek_Anc	eɡɔ́ː	7
I (1sg)	Latin	ˈeɡo	8
I (1sg)	Old_French	d͡ʒə	9
I (1sg)	Old_Norse	ek	10
I (1sg)	Old_High_German	ix	11
I (1sg)	Old_English	it͡ʃ	12
I (1sg)	Old_Irish	me:	13
I (1sg)	Old_Church_Slavonic	ɑzʊ̆	14
I (1sg)	Sanskrit	ɐɦɐm	15
I (1sg)	Pali	ɐɦã	16
I (1sg)	Middle_Persian	an	17
you (2sg)	Georgian	ʃen	18
you (2sg)	Armenian	du	19
you (2sg)	Old_Kannada	niː	20
you (2sg)	Old_Telugu	iːʋu	21
you (2sg)	Old_Malayalam	n̪iː	22
you (2sg)	Old_Tamil	n̪iː	23
you (2sg)	Greek_Anc	sý	24
you (2sg)	Latin	tuː	25
you (2sg)	Old_French	ty	26
you (2sg)	Old_Norse	θuː	27
you (2sg)	Old_High_German	duː	28
you (2sg)	Old_English	θuː	29
you (2sg)	Old_Irish	tu:	30
you (2sg)	Old_Church_Slavonic	tɯ	31
you (2sg)	Sanskrit	t̪ʋɐm	32
you (2sg)	Pali	t̪ʋã	33
you (2sg)	Middle_Persian	to:	34
he (3sg)	Georgian	is	35
he (3sg)	Armenian	nɑ	36
he (3sg)	Old_Kannada	t̪aːn	37
he (3sg)	Old_Telugu	at̪anru	38
he (3sg)	Old_Malayalam	aʋan	39
he (3sg)	Old_Tamil	t̪aːn	40
he (3sg)	Greek_Anc	autós	41
he (3sg)	Latin	is	42
he (3sg)	Old_French	il	43
he (3sg)	Old_Norse	hanː	44
he (3sg)	Old_High_German	er	45
he (3sg)	Old_English	heː	46
he (3sg)	Old_Irish	e:	47
he (3sg)	Old_Church_Slavonic	ɔnʊ̆	48
he (3sg)	Sanskrit	sɐ	49
he (3sg)	Pali	so	50
he (3sg)	Middle_Persian	o:j	51
we (1pl)	Georgian	t͡ʃʰʷen	52
we (1pl)	Armenian	mɛkʰ	53
we (1pl)	Old_Kannada	naːm	54
we (1pl)	Old_Telugu	eːmu	55
we (1pl)	Old_Malayalam	n̪aːm	56
we (1pl)	Old_Tamil	n̪aːm	57
we (1pl)	Greek_Anc	hɛːmeːs	58
we (1pl)	Latin	noːs	59
we (1pl)	Old_French	nus	60
we (1pl)	Old_Norse	veːr	61
we (1pl)	Old_High_German	wiːr	62
we (1pl)	Old_English	weː	63
we (1pl)	Old_Irish	sʹnʹi:	64
we (1pl)	Old_Church_Slavonic	mɯ	65
we (1pl)	Sanskrit	ʋɐjɐm	66
we (1pl)	Pali	ɐmɦe	67
we (1pl)	Middle_Persian	amɑ:h	68
you (2pl)	Georgian	tʰkʰʷen	69
you (2pl)	Armenian	dukʰ	70
you (2pl)	Old_Kannada	niːm	71
you (2pl)	Old_Telugu	iːɾu	72
you (2pl)	Old_Malayalam	n̪iŋːaɭ	73
you (2pl)	Old_Tamil	n̪iːɾ	74
you (2pl)	Greek_Anc	hyːmeːs	75
you (2pl)	Latin	woːs	76
you (2pl)	Old_French	vus	77
you (2pl)	Old_Norse	θeːr	78
you (2pl)	Old_High_German	iːr	79
you (2pl)	Old_English	jeː	80
you (2pl)	Old_Irish	sʹi:β	81
you (2pl)	Old_Church_Slavonic	vɯ	82
you (2pl)	Sanskrit	juːjɐm	83
you (2pl)	Pali	t̪umɦe	84
you (2pl)	Middle_Persian	aʃmɑ:h	85
they (3pl)	Georgian	isini	86
they (3pl)	Armenian	nəˈɾɑŋkʰ	87
they (3pl)	Old_Kannada	t̪aːm	88
they (3pl)	Old_Telugu	t̪aːɾu	89
they (3pl)	Old_Malayalam	aʋar	90
they (3pl)	Old_Tamil	t̪aːm	91
they (3pl)	Greek_Anc	autǒi	92
they (3pl)	Latin	eiː	93
they (3pl)	Old_French	il	94
they (3pl)	Old_Norse	θɛir	95
they (3pl)	Old_High_German	siː	96
they (3pl)	Old_English	hiːy̯	97
they (3pl)	Old_Irish	e:	98
they (3pl)	Old_Church_Slavonic	ɔni	99
they (3pl)	Sanskrit	t̪e	100
they (3pl)	Pali	t̪e	101
they (3pl)	Middle_Persian	awe:ʃɑ:n	102
this	Georgian	es	103
this	Armenian	ɑjs	104
this	Old_Kannada	id̪u	105
this	Old_Telugu	id̪i	106
this	Old_Malayalam	it̪ə	107
this	Old_Tamil	ixt̪u	108
this	Greek_Anc	hóde	109
this	Latin	hik	110
this	Old_French	t͡sist	111
this	Old_Norse	ˈθesːi	112
this	Old_High_German	deseːr	113
this	Old_English	θis	114
this	Old_Irish	sə	115
this	Old_Church_Slavonic	sɪ̆	116
this	Sanskrit	id̪ɐm	117
this	Pali	id̪ã	118
this	Middle_Persian	e:n	119
that	Georgian	is	120
that	Armenian	ɑjn	121
that	Old_Kannada	ad̪u	122
that	Old_Telugu	ad̪i	123
that	Old_Malayalam	at̪ə	124
that	Old_Tamil	axt̪u	125
that	Greek_Anc	ekêːnos	126
that	Latin	ˈilːe	127
that	Old_French	t͡sist	128
that	Old_Norse	θat	129
that	Old_High_German	jeneːr	130
that	Old_English	θæt	131
that	Old_Irish	sʹinʹ	132
that	Old_Church_Slavonic	tʊ̆	133
that	Sanskrit	ɐd̪ɐs	134
that	Pali	t̪ɐd̪	135
that	Middle_Persian	ɑ:n	136
here	Georgian	ak	137
here	Armenian	ɑjsˈtɛʁ	138
here	Old_Kannada	ilːi	139
